ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D2_SCAN90, cond_id=3, tag=s1_policy, subject=uccs_d2_scan90
# meta, policy=actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02 ema_alpha=0.20
11,3228,56300,181.7
20,3224,54800,176.7
30,3228,56300,181.7
40,3224,55100,177.6
50,3228,55900,180.4
60,3228,55400,178.8
70,3224,55700,179.6
80,3228,55600,179.5
90,3224,55400,178.6
100,3228,56200,181.4
110,3224,54800,176.7
120,3228,56300,181.7
130,3224,54800,176.7
140,3228,56300,181.7
150,3224,54700,176.4
160,3128,56500,176.7
170,3224,54700,176.4
180,3096,136000,421.1
190,3224,54900,177.0
200,3228,56300,181.7
210,3224,55400,178.6
220,3224,55700,179.6
230,3224,55400,178.6
240,3228,55600,179.5
250,3228,56200,181.4
260,3224,54900,177.0
270,3228,56300,181.7
280,3224,54700,176.4
290,3228,56300,181.7
300,3224,54700,176.4
310,3228,56300,181.7
320,3224,54800,176.7
330,3228,56400,182.1
340,3224,54700,176.4
350,3224,56300,181.5
360,3224,55300,178.3
370,3228,55700,179.8
380,3228,55400,178.8
390,3228,55700,179.8
400,3228,56000,180.8
410,3228,55100,177.9
420,3228,56300,181.7
430,3224,54700,176.4
440,3228,56300,181.7
450,3224,54800,176.7
460,3228,56300,181.7
470,3224,54700,176.4
480,3228,56300,181.7
490,3224,54700,176.4
500,3228,56300,181.7
510,3224,55200,178.0
520,3228,56000,180.8
530,3228,55400,178.8
540,3228,55600,179.5
550,3228,55600,179.5
560,3228,55500,179.2
570,3228,56300,181.7
580,3224,54800,176.7
590,3228,56300,181.7
600,3228,54800,176.9
610,3228,56300,181.7
620,3224,54800,176.7
630,3228,56400,182.1
640,3224,54800,176.7
650,3228,56300,181.7
660,3196,67500,215.7
670,3228,56300,181.7
680,3228,55300,178.5
690,3108,135600,421.4
700,3224,55400,178.6
710,3228,55700,179.8
720,3228,56100,181.1
730,3224,54900,177.0
740,3228,56300,181.7
750,3224,54800,176.7
760,3228,56300,181.7
770,3228,54800,176.9
780,3228,56300,181.7
790,3224,54700,176.4
800,3228,56300,181.7
810,3224,54800,176.7
820,3228,56300,181.7
830,3228,55300,178.5
840,3228,55800,180.1
850,3228,55400,178.8
860,3228,55700,179.8
870,3228,56000,180.8
880,3224,55100,177.6
890,3228,56300,181.7
900,3224,54800,176.7
910,3228,56300,181.7
920,3224,54700,176.4
930,3228,56300,181.7
940,3224,54700,176.4
950,3228,56300,181.7
960,3228,54800,176.9
970,3228,56300,181.7
980,3224,55000,177.3
990,3228,56000,180.8
1000,3224,55400,178.6
1010,3228,55700,179.8
1020,3228,55500,179.2
1030,3228,55600,179.5
1040,3228,56200,181.4
1050,3224,54800,176.7
1060,3224,56300,181.5
1070,3224,54700,176.4
1080,3228,56200,181.4
1090,3224,54800,176.7
1100,3228,56200,181.4
1110,3224,54700,176.4
1120,3228,56300,181.7
1130,3224,54800,176.7
1140,3228,56300,181.7
1150,3224,55300,178.3
1160,3228,55700,179.8
1170,3060,165900,507.7
1180,3228,55700,179.8
1190,3228,56100,181.1
1200,3224,55000,177.3
1210,3228,56300,181.7
1220,3224,54700,176.4
1230,3228,56300,181.7
1240,3224,54800,176.7
1250,3228,56300,181.7
1260,3224,54700,176.4
1270,3228,56300,181.7
1280,3076,63100,194.1
1290,3228,56300,181.7
1300,3224,55300,178.3
1310,3228,55800,180.1
1320,3228,55400,178.8
1330,3228,55700,179.8
1340,3224,55900,180.2
1350,3228,55200,178.2
1360,3228,56300,181.7
1370,3228,54800,176.9
1380,3164,157000,496.7
1390,3224,54700,176.4
1400,3228,56300,181.7
1410,3224,54700,176.4
1420,3228,56400,182.1
1430,3224,54700,176.4
1440,3228,56300,181.7
1450,3224,55000,177.3
1460,3228,56000,180.8
1470,3224,55400,178.6
1480,3228,55600,179.5
1490,3096,140400,434.7
1500,3228,55600,179.5
1510,3228,56200,181.4
1520,3224,54800,176.7
1530,3228,56300,181.7
1540,3224,54800,176.7
1550,3228,56300,181.7
1560,3224,54700,176.4
1570,3228,56300,181.7
1580,3224,54800,176.7
1590,3096,143700,444.9
1600,3224,54700,176.4
1610,3228,56400,182.1
1620,3228,55300,178.5
1630,3224,55800,179.9
1640,3228,55300,178.5
1650,3224,55700,179.6
1660,3224,56100,180.9
1670,3224,55000,177.3
1680,3228,56300,181.7
1690,3220,91300,294.0
1700,3228,56300,181.7
1710,3224,54800,176.7
1720,3228,56300,181.7
1730,3224,54700,176.4
1740,3228,56300,181.7
1750,3224,54800,176.7
1760,3228,56400,182.1
1770,3224,55300,178.3
1780,3228,55800,180.1
1790,3224,55400,178.6
1800,3104,134900,418.7
1810,3224,55900,180.2
1820,3228,55300,178.5
1830,3228,56300,181.7
1841,3224,54800,176.7
1850,3228,56300,181.7
1860,3228,54700,176.6
1870,3152,134100,422.7
1880,3228,54800,176.9
1890,3228,56300,181.7
1900,3224,54700,176.4
1910,3088,136500,421.5
1920,3224,55100,177.6
1930,3224,56000,180.5
