rx_trial_id,condition,repeat_idx,session,mode,rx_count,rx_unique,adv_count,pdr_unique,rx_tag_n100,rx_tag_n500,rx_tag_share100_time_est,tl_mean_s,tl_p95_s,pout_1s,pout_2s,pout_3s,tl_time_offset_ms,tl_time_offset_n,txsd_ms_total,E_total_mJ,avg_power_mW,txsd_path,rx_path
9,S1_fixed100,1,1,FIXED_100,1429,1427,1796,0.794543,1427,0,1.0,2.40725,42.64345,0.05,0.05,0.05,-1191.0,1427,181469.0,36990.437,203.83887606147607,uccs_d2_scan90/data/TX/trial_001_c1_s1_fixed100.csv,uccs_d2_scan90/data/RX/rx_trial_009.csv
10,S1_fixed500,1,1,FIXED_500,295,295,359,0.821727,1,294,0.00068,5.2275,53.3662,0.1,0.1,0.1,-655.0,295,179635.0,33033.823,183.89413532997466,uccs_d2_scan90/data/TX/trial_002_c2_s1_fixed500.csv,uccs_d2_scan90/data/RX/rx_trial_010.csv
11,S1_policy,1,1,POLICY,1431,1430,1787,0.800224,1427,3,0.989598,2.413,42.67525,0.05,0.05,0.05,-1134.0,1430,181462.0,36921.888,203.46897973129362,uccs_d2_scan90/data/TX/trial_001_c3_s1_policy.csv,uccs_d2_scan90/data/RX/rx_trial_011.csv
12,S4_fixed100,1,4,FIXED_100,1463,1463,1796,0.814588,1463,0,1.0,1.244488,13.6686,0.04878,0.04878,0.04878,-1131.0,1463,181480.0,36910.963,203.38859929468816,uccs_d2_scan90/data/TX/trial_001_c4_s4_fixed100.csv,uccs_d2_scan90/data/RX/rx_trial_012.csv
13,S4_fixed500,1,4,FIXED_500,299,299,359,0.832869,1,298,0.000671,2.096122,20.6021,0.097561,0.097561,0.097561,-606.0,299,179638.0,33062.323,184.04971665237863,uccs_d2_scan90/data/TX/trial_001_c5_s4_fixed500.csv,uccs_d2_scan90/data/RX/rx_trial_013.csv
14,S4_policy,1,4,POLICY,1462,1461,1787,0.817571,1458,3,0.989817,1.237122,13.6496,0.04878,0.04878,0.04878,-1108.0,1461,181465.0,37035.693,204.092761689582,uccs_d2_scan90/data/TX/trial_001_c6_s4_policy.csv,uccs_d2_scan90/data/RX/rx_trial_014.csv
15,S1_fixed100,2,1,FIXED_100,1466,1464,1796,0.815145,1464,0,1.0,5.091125,53.355625,0.1,0.1,0.1,-1098.5,1464,181460.0,36991.493,203.85480546676953,uccs_d2_scan90/data/TX/trial_002_c1_s1_fixed100.csv,uccs_d2_scan90/data/RX/rx_trial_015.csv
16,S1_fixed500,2,1,FIXED_500,304,304,359,0.846797,0,304,0.0,5.334375,53.372025,0.1,0.1,0.1,-570.5,304,179621.0,33031.832,183.89738393617674,uccs_d2_scan90/data/TX/trial_003_c2_s1_fixed500.csv,uccs_d2_scan90/data/RX/rx_trial_016.csv
17,S1_policy,2,1,POLICY,1444,1442,1787,0.806939,1439,3,0.989684,5.0909,53.36095,0.1,0.1,0.1,-1068.0,1442,181451.0,36931.233,203.53281602195634,uccs_d2_scan90/data/TX/trial_002_c3_s1_policy.csv,uccs_d2_scan90/data/RX/rx_trial_017.csv
18,S4_fixed100,2,4,FIXED_100,1454,1454,1796,0.809577,1454,0,1.0,1.233951,13.7389,0.04878,0.04878,0.04878,-1065.0,1453,181464.0,37017.088,203.99135916765863,uccs_d2_scan90/data/TX/trial_002_c4_s4_fixed100.csv,uccs_d2_scan90/data/RX/rx_trial_018.csv
19,S4_fixed500,2,4,FIXED_500,303,303,359,0.844011,0,303,0.0,1.474805,15.0007,0.097561,0.073171,0.073171,-518.0,303,179625.0,33110.978,184.33390675017398,uccs_d2_scan90/data/TX/trial_002_c5_s4_fixed500.csv,uccs_d2_scan90/data/RX/rx_trial_019.csv
20,S4_policy,2,4,POLICY,1451,1450,1787,0.811416,1447,3,0.98974,1.227305,13.656,0.04878,0.04878,0.04878,-1034.5,1450,181451.0,36983.375,203.8201773481546,uccs_d2_scan90/data/TX/trial_002_c6_s4_policy.csv,uccs_d2_scan90/data/RX/rx_trial_020.csv
21,S1_fixed100,3,1,FIXED_100,1444,1444,1796,0.804009,1444,0,1.0,5.10125,53.35315,0.1,0.1,0.1,-1025.0,1444,181458.0,36958.209,203.67362695499787,uccs_d2_scan90/data/TX/trial_004_c0_unk.csv,uccs_d2_scan90/data/RX/rx_trial_021.csv
22,S1_fixed500,3,1,FIXED_500,296,296,359,0.824513,0,296,0.0,5.26515,53.37025,0.1,0.1,0.1,-465.0,296,179606.0,32974.619,183.59419507143414,uccs_d2_scan90/data/TX/trial_004_c2_s1_fixed500.csv,uccs_d2_scan90/data/RX/rx_trial_022.csv
23,S1_policy,3,1,POLICY,1438,1435,1787,0.803022,1432,3,0.989634,2.44125,42.73345,0.05,0.05,0.05,-981.0,1435,181437.0,37024.787,204.06414898835405,uccs_d2_scan90/data/TX/trial_003_c3_s1_policy.csv,uccs_d2_scan90/data/RX/rx_trial_023.csv
24,S4_fixed100,3,4,FIXED_100,1421,1421,1796,0.791203,1421,0,1.0,1.23478,13.6117,0.04878,0.04878,0.04878,-979.0,1421,181438.0,36961.461,203.71400147708863,uccs_d2_scan90/data/TX/trial_003_c4_s4_fixed100.csv,uccs_d2_scan90/data/RX/rx_trial_024.csv
25,S4_fixed500,3,4,FIXED_500,300,300,359,0.835655,1,299,0.000668,2.267902,21.0551,0.195122,0.121951,0.121951,-427.0,300,179606.0,33125.286,184.43307016469385,uccs_d2_scan90/data/TX/trial_003_c5_s4_fixed500.csv,uccs_d2_scan90/data/RX/rx_trial_025.csv
26,S4_policy,3,4,POLICY,1436,1434,1787,0.802462,1432,2,0.993065,1.483634,14.5786,0.073171,0.073171,0.073171,-936.0,1434,181416.0,37165.78,204.86495127221414,uccs_d2_scan90/data/TX/trial_004_c5_s4_fixed500.csv,uccs_d2_scan90/data/RX/rx_trial_026.csv
