rx_trial_id,condition,repeat_idx,session,mode,rx_count,rx_unique,adv_count,pdr_unique,rx_tag_n100,rx_tag_n500,rx_tag_share100_time_est,tl_mean_s,tl_p95_s,pout_1s,pout_2s,pout_3s,tl_time_offset_ms,tl_time_offset_n,txsd_ms_total,E_total_mJ,avg_power_mW,txsd_path,rx_path
84,S4_policy,1,4,POLICY,1009,1008,1227,0.821516,893,115,0.608311,2.180732,23.6714,0.073171,0.073171,0.073171,1226.5,1008,180905.0,35958.479,198.76995660705896,uccs_d2_scan90/data/B/02/TX/trial_001_c7_unk.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_084.csv
85,S1_fixed100,1,1,FIXED_100,1468,1466,1793,0.817624,1466,0,1.0,2.4398,42.7262,0.05,0.05,0.05,977.0,1466,181134.0,37155.962,205.1296940386675,uccs_d2_scan90/data/B/02/TX/trial_001_c1_s1_fixed100.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_085.csv
86,S1_fixed500,1,1,FIXED_500,300,300,359,0.835655,0,300,0.0,5.30245,53.36735,0.2,0.1,0.1,1560.0,300,179653.0,33355.851,185.66821038335016,uccs_d2_scan90/data/B/02/TX/trial_001_c2_s1_fixed500.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_086.csv
87,S1_policy,1,1,POLICY,698,697,855,0.815205,496,201,0.330446,5.28585,53.3993,0.15,0.1,0.1,1531.0,697,180538.0,34904.265,193.33472731502508,uccs_d2_scan90/data/B/02/TX/trial_001_c4_s4_fixed100.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_087.csv
88,S4_fixed100,1,4,FIXED_100,1444,1443,1796,0.803452,1443,0,1.0,1.250439,13.6383,0.04878,0.04878,0.04878,1116.0,1443,181477.0,37489.878,206.58198008563068,uccs_d2_scan90/data/B/02/TX/trial_001_c5_s4_fixed500.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_088.csv
89,S4_fixed500,1,4,FIXED_500,298,298,359,0.830084,0,298,0.0,2.929366,15.0313,0.121951,0.097561,0.097561,1700.0,298,179638.0,33424.385,186.0652256204144,uccs_d2_scan90/data/B/02/TX/trial_001_c6_s4_policy.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_089.csv
90,S4_policy,2,4,POLICY,1003,1003,1227,0.817441,882,121,0.593141,1.23739,14.2797,0.04878,0.04878,0.04878,1509.0,1003,180891.0,35788.503,197.8456805479543,uccs_d2_scan90/data/B/02/TX/trial_002_c7_unk.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_090.csv
91,S1_fixed100,2,1,FIXED_100,1387,1387,1796,0.772272,1387,0,1.0,2.41465,42.71505,0.05,0.05,0.05,2612.0,1387,181460.0,37222.167,205.12601675300343,uccs_d2_scan90/data/B/02/TX/trial_002_c1_s1_fixed100.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_091.csv
92,S1_fixed500,2,1,FIXED_500,292,292,359,0.81337,0,292,0.0,5.266075,53.369075,0.1,0.1,0.1,1837.5,292,179634.0,33486.651,186.4159958582451,uccs_d2_scan90/data/B/02/TX/trial_001_c3_s1_policy.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_092.csv
93,S1_policy,2,1,POLICY,653,652,855,0.762573,464,188,0.330484,5.2295,53.37455,0.15,0.1,0.1,1825.0,652,180518.0,34900.067,193.33289201076903,uccs_d2_scan90/data/B/02/TX/trial_002_c4_s4_fixed100.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_093.csv
