ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=2, tag=s4_fixed500, subject=uccs_d3_scan70
11,3324,32600,108.4
21,3320,32600,108.2
31,3320,32600,108.2
41,3324,32600,108.4
51,3320,32600,108.2
61,3320,32500,107.9
71,3324,32700,108.7
81,3320,32600,108.2
91,3320,32600,108.2
101,3320,32700,108.6
111,3320,32500,107.9
121,3324,32600,108.4
131,3324,32600,108.4
141,3324,32700,108.7
151,3320,32600,108.2
161,3320,32600,108.2
171,3324,32500,108.0
181,3320,32600,108.2
191,3320,32600,108.2
201,3324,32600,108.4
211,3320,32600,108.2
221,3320,32600,108.2
231,3320,32600,108.2
241,3320,32600,108.2
251,3320,32700,108.6
261,3324,32600,108.4
271,3324,32600,108.4
281,3320,32600,108.2
291,3320,32700,108.6
301,3324,32600,108.4
311,3320,32700,108.6
321,3320,32600,108.2
331,3324,32600,108.4
341,3320,32600,108.2
351,3320,32600,108.2
361,3320,32600,108.2
371,3320,32500,107.9
381,3324,32600,108.4
391,3320,32600,108.2
401,3324,32700,108.7
411,3320,32700,108.6
421,3324,32700,108.7
431,3320,32600,108.2
441,3320,32700,108.6
451,3320,32600,108.2
461,3324,32600,108.4
471,3320,32600,108.2
481,3320,32600,108.2
491,3320,32600,108.2
501,3320,32600,108.2
511,3320,32600,108.2
521,3324,32700,108.7
531,3320,32600,108.2
541,3320,32600,108.2
551,3324,32600,108.4
561,3324,32600,108.4
571,3324,32700,108.7
581,3324,32500,108.0
591,3320,32700,108.6
601,3324,32700,108.7
611,3320,32600,108.2
621,3320,32700,108.6
631,3324,32600,108.4
641,3320,32600,108.2
651,3324,32600,108.4
661,3320,32600,108.2
671,3320,32600,108.2
681,3324,32600,108.4
691,3324,32600,108.4
701,3320,32600,108.2
711,3324,32600,108.4
721,3320,32600,108.2
731,3320,32700,108.6
741,3320,32600,108.2
751,3320,32500,107.9
761,3320,32600,108.2
771,3320,32600,108.2
781,3320,32600,108.2
791,3320,32600,108.2
801,3324,32600,108.4
811,3324,32600,108.4
821,3320,32600,108.2
831,3324,32600,108.4
841,3324,32800,109.0
851,3320,32600,108.2
861,3324,32600,108.4
871,3324,32600,108.4
881,3324,32500,108.0
891,3324,32600,108.4
901,3324,32600,108.4
911,3320,32600,108.2
921,3320,32600,108.2
931,3320,32600,108.2
941,3320,32700,108.6
951,3324,32600,108.4
961,3324,32600,108.4
971,3320,32600,108.2
981,3320,32700,108.6
991,3324,32600,108.4
1001,3324,32600,108.4
1011,3320,32600,108.2
1021,3324,32600,108.4
1031,3320,32600,108.2
1041,3320,32700,108.6
1051,3320,32600,108.2
1061,3320,32600,108.2
1071,3320,32600,108.2
1081,3320,32700,108.6
1091,3320,32600,108.2
1101,3320,32600,108.2
1111,3320,32500,107.9
1121,3320,32600,108.2
1131,3320,32700,108.6
1141,3324,32700,108.7
1151,3324,32900,109.4
1161,3320,32600,108.2
1171,3320,32600,108.2
1181,3320,32400,107.6
1191,3320,32500,107.9
1201,3320,32600,108.2
1211,3320,32500,107.9
1221,3320,32600,108.2
1231,3320,32600,108.2
1241,3320,32500,107.9
1251,3320,32700,108.6
1261,3320,32600,108.2
1271,3324,32500,108.0
1281,3320,32500,107.9
1291,3320,32600,108.2
1301,3324,32600,108.4
1311,3324,32600,108.4
1321,3324,32600,108.4
1331,3320,32500,107.9
1341,3320,32700,108.6
1351,3320,32600,108.2
1361,3324,32700,108.7
1371,3324,32600,108.4
1381,3324,32600,108.4
1391,3320,32600,108.2
1401,3324,32600,108.4
1411,3324,32600,108.4
1421,3320,32500,107.9
1431,3320,32500,107.9
1441,3320,32700,108.6
1451,3320,32600,108.2
1461,3320,32700,108.6
1471,3320,32600,108.2
1481,3324,32600,108.4
1491,3320,32600,108.2
1501,3324,32600,108.4
1511,3320,32600,108.2
1521,3324,32600,108.4
1531,3320,32600,108.2
1541,3320,32600,108.2
1551,3320,32600,108.2
1561,3324,32700,108.7
1571,3324,32700,108.7
1581,3320,32600,108.2
1591,3320,32600,108.2
1601,3320,32600,108.2
1611,3324,32600,108.4
1621,3324,32600,108.4
1631,3320,32600,108.2
1641,3320,32600,108.2
1651,3320,32600,108.2
1661,3320,32600,108.2
1671,3320,32600,108.2
1681,3324,32600,108.4
1691,3320,32600,108.2
1701,3320,32600,108.2
1711,3320,32500,107.9
1721,3320,32600,108.2
1731,3320,32600,108.2
1741,3320,32700,108.6
1751,3320,32600,108.2
1761,3320,32600,108.2
1771,3320,32600,108.2
1781,3320,32600,108.2
1791,3320,32600,108.2
1801,3320,32600,108.2
1811,3320,32600,108.2
1821,3320,32500,107.9
1831,3324,32700,108.7
1841,3324,32800,109.0
1851,3320,32800,108.9
1861,3320,32700,108.6
1871,3320,32700,108.6
1881,3320,32700,108.6
1891,3320,32800,108.9
1901,3320,32700,108.6
1911,3320,32800,108.9
1921,3320,32700,108.6
1931,3324,32800,109.0
1941,3320,32700,108.6
1951,3320,32700,108.6
1961,3320,32700,108.6
1971,3320,32700,108.6
1981,3320,32800,108.9
1991,3320,32900,109.2
2001,3320,32800,108.9
2011,3320,32800,108.9
2021,3320,32800,108.9
2031,3324,32800,109.0
2041,3320,32700,108.6
2051,3320,32700,108.6
2061,3320,32700,108.6
2071,3320,32800,108.9
2081,3320,32800,108.9
2091,3320,32700,108.6
2101,3320,32800,108.9
2111,3324,32700,108.7
2121,3320,32700,108.6
2131,3324,32800,109.0
2141,3320,32800,108.9
2151,3324,32700,108.7
2161,3324,32700,108.7
2171,3320,32700,108.6
2181,3320,32700,108.6
2191,3320,32800,108.9
2201,3324,32700,108.7
2211,3324,32700,108.7
2221,3320,32700,108.6
2231,3320,32700,108.6
2241,3320,32700,108.6
2251,3320,32800,108.9
2261,3320,32700,108.6
2271,3320,32700,108.6
2281,3320,32700,108.6
2291,3320,32900,109.2
2301,3320,32800,108.9
2311,3320,32800,108.9
2321,3320,32700,108.6
2331,3320,32700,108.6
2341,3320,32800,108.9
2351,3324,32700,108.7
2361,3320,32700,108.6
2371,3324,32800,109.0
2381,3324,32700,108.7
2391,3320,32800,108.9
2401,3324,32700,108.7
2411,3320,32800,108.9
2421,3324,32700,108.7
2431,3320,32800,108.9
2441,3324,32800,109.0
2451,3324,32700,108.7
2461,3320,32700,108.6
2471,3320,32800,108.9
2481,3320,32700,108.6
2491,3320,32800,108.9
2501,3320,32700,108.6
2511,3324,32800,109.0
2521,3320,32900,109.2
2531,3320,32800,108.9
2541,3320,32700,108.6
2551,3324,32800,109.0
2561,3320,32800,108.9
2571,3320,32700,108.6
2581,3324,32800,109.0
2591,3320,32700,108.6
2601,3324,32700,108.7
2611,3324,32800,109.0
2621,3320,32800,108.9
2631,3320,32700,108.6
2641,3320,32700,108.6
2651,3324,32700,108.7
2661,3324,32800,109.0
2671,3320,32700,108.6
2681,3324,32700,108.7
2691,3320,32700,108.6
2701,3320,32700,108.6
2711,3320,32700,108.6
2721,3320,32700,108.6
2731,3320,32800,108.9
2741,3320,32700,108.6
2751,3320,32700,108.6
2761,3320,32700,108.6
2771,3324,32700,108.7
2781,3320,32700,108.6
2791,3324,32800,109.0
2801,3320,32700,108.6
2811,3320,32700,108.6
2821,3320,32700,108.6
2831,3320,32800,108.9
2841,3324,32800,109.0
2851,3324,32700,108.7
2861,3320,32700,108.6
2871,3320,32700,108.6
2881,3320,32800,108.9
2891,3320,32700,108.6
2901,3320,32800,108.9
2911,3320,32700,108.6
2921,3324,32700,108.7
2931,3320,32700,108.6
2941,3320,32800,108.9
2951,3320,32700,108.6
2961,3320,32800,108.9
2971,3320,32700,108.6
2981,3320,32800,108.9
2991,3320,32800,108.9
3001,3320,32700,108.6
3011,3320,32700,108.6
