ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=3, tag=s4_policy, subject=uccs_d3_scan70
# meta, policy=actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02 ema_alpha=0.20 ccs_inverted=true preamble_guard=true
10,3304,56700,187.3
20,3304,55000,181.7
30,3304,56600,187.0
40,3304,55100,182.1
50,3304,56600,187.0
60,3300,55100,181.8
70,3304,56600,187.0
80,3300,55500,183.1
90,3304,56100,185.4
100,3304,55700,184.0
110,3304,56000,185.0
120,3304,56100,185.4
130,3300,74100,244.5
140,3304,56600,187.0
150,3304,55200,182.4
160,3304,56600,187.0
170,3304,55100,182.1
180,3304,56700,187.3
190,3304,55100,182.1
200,3304,56700,187.3
210,3304,55000,181.7
220,3304,56600,187.0
230,3300,55400,182.8
240,3304,56300,186.0
250,3304,55700,184.0
260,3304,56100,185.4
270,3304,55800,184.4
280,3300,56000,184.8
290,3304,56600,187.0
300,3304,55100,182.1
310,3304,56600,187.0
320,3300,55100,181.8
330,3304,56700,187.3
340,3304,55200,182.4
350,3304,56600,187.0
360,3300,55100,181.8
370,3304,56700,187.3
380,3300,55100,181.8
390,3304,56700,187.3
400,3304,55700,184.0
410,3304,56000,185.0
420,3300,55700,183.8
430,3304,56000,185.0
440,3304,56500,186.7
450,3304,55200,182.4
460,3304,56700,187.3
470,3304,55100,182.1
480,3304,56700,187.3
490,3300,55100,181.8
500,3304,56700,187.3
510,3304,55100,182.1
520,3304,56700,187.3
530,3300,55100,181.8
540,3304,56700,187.3
550,3304,55600,183.7
560,3304,56100,185.4
570,3304,55800,184.4
580,3304,56000,185.0
590,3304,56500,186.7
600,3304,55400,183.0
610,3304,56700,187.3
620,3304,55100,182.1
630,3304,56700,187.3
640,3160,100800,318.5
650,3304,56600,187.0
660,3300,55100,181.8
670,3304,56700,187.3
680,3300,55100,181.8
690,3304,56700,187.3
700,3304,55700,184.0
710,3304,56100,185.4
720,3304,55700,184.0
730,3304,56100,185.4
740,3304,56200,185.7
750,3304,55700,184.0
760,3304,56700,187.3
770,3300,55200,182.2
780,3304,56700,187.3
790,3304,55100,182.1
800,3304,56600,187.0
810,3304,55100,182.1
820,3304,56700,187.3
830,3304,55100,182.1
840,3304,56700,187.3
850,3300,55400,182.8
860,3304,56400,186.3
870,3304,55700,184.0
880,3304,56100,185.4
890,3304,55800,184.4
900,3304,55900,184.7
910,3304,56700,187.3
920,3304,55100,182.1
930,3304,56700,187.3
940,3304,55100,182.1
950,3304,56700,187.3
960,3300,55100,181.8
970,3304,56700,187.3
980,3304,55100,182.1
990,3304,56600,187.0
1000,3304,55100,182.1
1010,3304,56600,187.0
1020,3304,55700,184.0
1030,3304,56000,185.0
1040,3304,55700,184.0
1050,3304,56000,185.0
1060,3304,56600,187.0
1070,3300,55100,181.8
1080,3304,56600,187.0
1090,3304,55000,181.7
1100,3304,56700,187.3
1110,3300,55100,181.8
1120,3304,56600,187.0
1130,3300,55100,181.8
1140,3212,144600,464.5
1150,3300,55100,181.8
1160,3304,56600,187.0
1170,3300,55700,183.8
1180,3304,56000,185.0
1190,3304,55700,184.0
1200,3304,56000,185.0
1210,3304,56500,186.7
1220,3300,55300,182.5
1230,3304,56600,187.0
1240,3304,55100,182.1
1250,3304,56600,187.0
1260,3300,55100,181.8
1270,3304,56700,187.3
1280,3304,55100,182.1
1290,3304,56700,187.3
1300,3300,55000,181.5
1310,3304,56700,187.3
1320,3300,55700,183.8
1330,3304,56200,185.7
1340,3304,55700,184.0
1350,3304,56000,185.0
1360,3304,56200,185.7
1370,3304,55700,184.0
1380,3304,56700,187.3
1390,3300,55100,181.8
1400,3304,56700,187.3
1410,3304,55100,182.1
1420,3304,56700,187.3
1430,3304,55100,182.1
1440,3304,56600,187.0
1450,3300,55100,181.8
1460,3304,56600,187.0
1470,3304,55400,183.0
1480,3304,56400,186.3
1490,3304,55700,184.0
1500,3304,56100,185.4
1510,3300,55800,184.1
1520,3304,55900,184.7
1530,3304,56600,187.0
1540,3304,55100,182.1
1550,3304,56700,187.3
1560,3304,55100,182.1
1570,3304,56600,187.0
1580,3300,55100,181.8
1590,3304,56600,187.0
1600,3304,55100,182.1
1610,3304,56600,187.0
1620,3300,55100,181.8
1630,3304,56600,187.0
1640,3304,55700,184.0
1650,3148,147800,465.3
1660,3304,55700,184.0
1670,3304,56000,185.0
1680,3304,56600,187.0
1690,3304,55100,182.1
1700,3304,56600,187.0
1710,3304,55100,182.1
1720,3304,56700,187.3
1730,3304,55100,182.1
1740,3304,56600,187.0
1750,3300,55000,181.5
1760,3304,56600,187.0
1770,3300,55100,181.8
1780,3304,56700,187.3
