ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=4, tag=unk, subject=uccs_d3_scan70
10,3304,56400,186.3
20,3300,54900,181.2
30,3304,56400,186.3
40,3300,54800,180.8
50,3304,56500,186.7
60,3300,55400,182.8
70,3304,56000,185.0
80,3300,55500,183.1
90,3304,55900,184.7
100,3304,55800,184.4
110,3304,55600,183.7
120,3304,56000,185.0
130,3300,55000,181.5
140,3304,56500,186.7
150,3304,54900,181.4
160,3304,56400,186.3
170,3304,54800,181.1
180,3304,56400,186.3
190,3304,54900,181.4
200,3304,56400,186.3
210,3304,54900,181.4
220,3304,56400,186.3
230,3304,55500,183.4
240,3304,55800,184.4
250,3304,55600,183.7
260,3300,55800,184.1
270,3304,56400,186.3
280,3300,54900,181.2
290,3304,56400,186.3
300,3300,54900,181.2
310,3304,56500,186.7
320,3300,55000,181.5
330,3304,56500,186.7
340,3300,54900,181.2
350,3304,56400,186.3
360,3304,54900,181.4
370,3304,56400,186.3
380,3304,55500,183.4
390,3304,55800,184.4
400,3304,55500,183.4
410,3304,55800,184.4
420,3300,56200,185.5
430,3304,55200,182.4
440,3304,56300,186.0
450,3304,54900,181.4
460,3304,56500,186.7
470,3300,54900,181.2
480,3304,56400,186.3
490,3304,54900,181.4
500,3304,56500,186.7
510,3300,54900,181.2
520,3304,56500,186.7
530,3300,55300,182.5
540,3304,56100,185.4
550,3304,55500,183.4
560,3304,55800,184.4
570,3304,55600,183.7
580,3304,55700,184.0
590,3304,56500,186.7
600,3300,54900,181.2
610,3304,56400,186.3
620,3300,54900,181.2
630,3204,184800,592.1
640,3300,54900,181.2
650,3304,56500,186.7
660,3304,54900,181.4
670,3304,56500,186.7
680,3304,54900,181.4
690,3304,56500,186.7
700,3304,55500,183.4
710,3304,55800,184.4
720,3300,55500,183.1
730,3304,55800,184.4
740,3300,56400,186.1
750,3300,55000,181.5
760,3304,56400,186.3
770,3300,54900,181.2
780,3304,56400,186.3
790,3304,54900,181.4
800,3304,56500,186.7
810,3300,54900,181.2
820,3304,56500,186.7
830,3300,54900,181.2
840,3304,56400,186.3
850,3300,55400,182.8
860,3304,55900,184.7
870,3300,55500,183.1
880,3304,55800,184.4
890,3300,56000,184.8
900,3304,55400,183.0
910,3304,56200,185.7
920,3304,54900,181.4
930,3304,56500,186.7
940,3300,54900,181.2
950,3304,56400,186.3
960,3304,54900,181.4
970,3304,56500,186.7
980,3300,54800,180.8
990,3300,56400,186.1
1000,3300,55100,181.8
1010,3304,56300,186.0
1020,3304,55500,183.4
1030,3304,55800,184.4
1040,3304,55500,183.4
1050,3304,55800,184.4
1060,3304,55600,183.7
1070,3304,54900,181.4
1080,3304,56400,186.3
1090,3300,54900,181.2
1100,3304,56400,186.3
1110,3300,54900,181.2
1120,3300,86900,286.8
1130,3300,55000,181.5
1140,3304,56500,186.7
1150,3300,54900,181.2
1160,3304,56400,186.3
1170,3304,55500,183.4
1180,3304,55800,184.4
1190,3304,55500,183.4
1200,3304,55800,184.4
1210,3304,56300,186.0
1220,3304,55100,182.1
1230,3220,146600,472.1
1240,3300,54900,181.2
1250,3304,56400,186.3
1260,3304,54900,181.4
1270,3304,56400,186.3
1280,3304,54900,181.4
1290,3304,56500,186.7
1300,3304,54900,181.4
1310,3304,56500,186.7
1320,3300,55400,182.8
1330,3304,56000,185.0
1340,3228,217400,701.8
1350,3304,55900,184.7
1360,3300,55700,183.8
1370,3304,55700,184.0
1380,3304,56100,185.4
1390,3304,54900,181.4
1400,3304,56500,186.7
1410,3304,54900,181.4
1420,3304,56400,186.3
1430,3304,54900,181.4
1440,3216,210000,675.4
1450,3300,54900,181.2
1460,3304,56500,186.7
1470,3300,55000,181.5
1480,3304,56400,186.3
1490,3300,55500,183.1
1500,3304,55900,184.7
1510,3304,55600,183.7
1520,3292,56000,184.4
1530,3304,56400,186.3
1540,3304,54900,181.4
1550,3196,172100,550.0
1560,3304,54900,181.4
1570,3304,56500,186.7
1580,3300,55000,181.5
1590,3304,56500,186.7
1600,3300,54800,180.8
1610,3304,56500,186.7
1620,3248,55500,180.3
1630,3304,56400,186.3
1640,3300,55500,183.1
1650,3216,146200,470.2
1660,3304,55500,183.4
1670,3304,55800,184.4
1680,3304,56200,185.7
1690,3304,55200,182.4
1700,3304,56300,186.0
1710,3300,54900,181.2
1720,3300,56700,187.1
1730,3304,54900,181.4
1740,3304,56500,186.7
1750,3304,54900,181.4
1760,3224,147700,476.2
1770,3300,54900,181.2
