ms,event,rssi,seq,label,addr,mfd,program_id
# meta, firmware=RX_UCCS_D3_SCAN70, buf_size=512
# meta, scan_interval_ms=100.0, scan_window_ms=70.0
# condition_label=F4-00-500
861,ADV,-61,15,F4-00-500,e0:5a:1b:15:b2:ee,15_F4-00-500,RX_UCCS_D3_SCAN70_v1
1841,ADV,-61,25,F4-00-500,e0:5a:1b:15:b2:ee,25_F4-00-500,RX_UCCS_D3_SCAN70_v1
3846,ADV,-36,45,F4-00-500,e0:5a:1b:15:b2:ee,45_F4-00-500,RX_UCCS_D3_SCAN70_v1
5360,ADV,-36,60,F4-00-500,e0:5a:1b:15:b2:ee,60_F4-00-500,RX_UCCS_D3_SCAN70_v1
6906,ADV,-34,75,F4-00-500,e0:5a:1b:15:b2:ee,75_F4-00-500,RX_UCCS_D3_SCAN70_v1
7880,ADV,-34,85,F4-00-500,e0:5a:1b:15:b2:ee,85_F4-00-500,RX_UCCS_D3_SCAN70_v1
9903,ADV,-62,105,F4-11-500,e0:5a:1b:15:b2:ee,105_F4-11-500,RX_UCCS_D3_SCAN70_v1
10431,ADV,-62,110,F4-11-500,e0:5a:1b:15:b2:ee,110_F4-11-500,RX_UCCS_D3_SCAN70_v1
11424,ADV,-61,120,F4-10-500,e0:5a:1b:15:b2:ee,120_F4-10-500,RX_UCCS_D3_SCAN70_v1
12936,ADV,-36,135,F4-10-500,e0:5a:1b:15:b2:ee,135_F4-10-500,RX_UCCS_D3_SCAN70_v1
13946,ADV,-36,145,F4-10-500,e0:5a:1b:15:b2:ee,145_F4-10-500,RX_UCCS_D3_SCAN70_v1
14950,ADV,-36,155,F4-10-500,e0:5a:1b:15:b2:ee,155_F4-10-500,RX_UCCS_D3_SCAN70_v1
16472,ADV,-34,170,F4-10-500,e0:5a:1b:15:b2:ee,170_F4-10-500,RX_UCCS_D3_SCAN70_v1
17486,ADV,-34,180,F4-10-500,e0:5a:1b:15:b2:ee,180_F4-10-500,RX_UCCS_D3_SCAN70_v1
19513,ADV,-62,200,F4-10-500,e0:5a:1b:15:b2:ee,200_F4-10-500,RX_UCCS_D3_SCAN70_v1
20515,ADV,-62,210,F4-10-500,e0:5a:1b:15:b2:ee,210_F4-10-500,RX_UCCS_D3_SCAN70_v1
21520,ADV,-62,220,F4-10-500,e0:5a:1b:15:b2:ee,220_F4-10-500,RX_UCCS_D3_SCAN70_v1
23538,ADV,-36,240,F4-10-500,e0:5a:1b:15:b2:ee,240_F4-10-500,RX_UCCS_D3_SCAN70_v1
24561,ADV,-36,250,F4-06-500,e0:5a:1b:15:b2:ee,250_F4-06-500,RX_UCCS_D3_SCAN70_v1
26063,ADV,-34,265,F4-06-500,e0:5a:1b:15:b2:ee,265_F4-06-500,RX_UCCS_D3_SCAN70_v1
27067,ADV,-35,275,F4-06-500,e0:5a:1b:15:b2:ee,275_F4-06-500,RX_UCCS_D3_SCAN70_v1
27589,ADV,-35,280,F4-06-500,e0:5a:1b:15:b2:ee,280_F4-06-500,RX_UCCS_D3_SCAN70_v1
29590,ADV,-62,300,F4-06-500,e0:5a:1b:15:b2:ee,300_F4-06-500,RX_UCCS_D3_SCAN70_v1
30598,ADV,-62,310,F4-06-500,e0:5a:1b:15:b2:ee,310_F4-06-500,RX_UCCS_D3_SCAN70_v1
32630,ADV,-36,330,F4-06-500,e0:5a:1b:15:b2:ee,330_F4-06-500,RX_UCCS_D3_SCAN70_v1
33130,ADV,-36,335,F4-06-500,e0:5a:1b:15:b2:ee,335_F4-06-500,RX_UCCS_D3_SCAN70_v1
33635,ADV,-36,340,F4-07-500,e0:5a:1b:15:b2:ee,340_F4-07-500,RX_UCCS_D3_SCAN70_v1
35661,ADV,-35,360,F4-07-500,e0:5a:1b:15:b2:ee,360_F4-07-500,RX_UCCS_D3_SCAN70_v1
36660,ADV,-34,370,F4-11-500,e0:5a:1b:15:b2:ee,370_F4-11-500,RX_UCCS_D3_SCAN70_v1
37678,ADV,-34,380,F4-04-500,e0:5a:1b:15:b2:ee,380_F4-04-500,RX_UCCS_D3_SCAN70_v1
38695,ADV,-63,390,F4-04-500,e0:5a:1b:15:b2:ee,390_F4-04-500,RX_UCCS_D3_SCAN70_v1
39732,ADV,-62,400,F4-04-500,e0:5a:1b:15:b2:ee,400_F4-04-500,RX_UCCS_D3_SCAN70_v1
40707,ADV,-62,410,F4-04-500,e0:5a:1b:15:b2:ee,410_F4-04-500,RX_UCCS_D3_SCAN70_v1
42227,ADV,-36,425,F4-04-500,e0:5a:1b:15:b2:ee,425_F4-04-500,RX_UCCS_D3_SCAN70_v1
42730,ADV,-36,430,F4-10-500,e0:5a:1b:15:b2:ee,430_F4-10-500,RX_UCCS_D3_SCAN70_v1
45259,ADV,-34,455,F4-10-500,e0:5a:1b:15:b2:ee,455_F4-10-500,RX_UCCS_D3_SCAN70_v1
46278,ADV,-34,465,F4-10-500,e0:5a:1b:15:b2:ee,465_F4-10-500,RX_UCCS_D3_SCAN70_v1
48297,ADV,-62,485,F4-10-500,e0:5a:1b:15:b2:ee,485_F4-10-500,RX_UCCS_D3_SCAN70_v1
49305,ADV,-60,495,F4-10-500,e0:5a:1b:15:b2:ee,495_F4-10-500,RX_UCCS_D3_SCAN70_v1
50312,ADV,-61,510,F4-10-500,e0:5a:1b:15:b2:ee,510_F4-10-500,RX_UCCS_D3_SCAN70_v1
51830,ADV,-36,525,F4-10-500,e0:5a:1b:15:b2:ee,525_F4-10-500,RX_UCCS_D3_SCAN70_v1
52855,ADV,-36,535,F4-10-500,e0:5a:1b:15:b2:ee,535_F4-10-500,RX_UCCS_D3_SCAN70_v1
54868,ADV,-35,555,F4-10-500,e0:5a:1b:15:b2:ee,555_F4-10-500,RX_UCCS_D3_SCAN70_v1
55864,ADV,-34,565,F4-10-500,e0:5a:1b:15:b2:ee,565_F4-10-500,RX_UCCS_D3_SCAN70_v1
56881,ADV,-34,575,F4-10-500,e0:5a:1b:15:b2:ee,575_F4-10-500,RX_UCCS_D3_SCAN70_v1
58391,ADV,-60,590,F4-10-500,e0:5a:1b:15:b2:ee,590_F4-10-500,RX_UCCS_D3_SCAN70_v1
59403,ADV,-61,600,F4-10-500,e0:5a:1b:15:b2:ee,600_F4-10-500,RX_UCCS_D3_SCAN70_v1
