ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=4, tag=unk, subject=uccs_d3_scan70
11,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
21,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
31,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
41,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
51,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
61,4908,55500,272.4,TXSD_UCCS_D3_SCAN70_v1
71,4748,202100,959.6,TXSD_UCCS_D3_SCAN70_v1
81,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
91,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
101,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
111,4908,56500,277.3,TXSD_UCCS_D3_SCAN70_v1
121,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
131,4908,56300,276.3,TXSD_UCCS_D3_SCAN70_v1
141,4908,56700,278.3,TXSD_UCCS_D3_SCAN70_v1
151,4908,55500,272.4,TXSD_UCCS_D3_SCAN70_v1
161,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
171,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
181,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
191,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
201,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
211,4908,55500,272.4,TXSD_UCCS_D3_SCAN70_v1
221,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
231,4908,55500,272.4,TXSD_UCCS_D3_SCAN70_v1
241,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
251,4908,55500,272.4,TXSD_UCCS_D3_SCAN70_v1
261,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
271,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
281,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
291,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
301,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
311,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
321,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
331,4908,56900,279.3,TXSD_UCCS_D3_SCAN70_v1
341,4908,55500,272.4,TXSD_UCCS_D3_SCAN70_v1
351,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
361,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
371,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
381,4908,55500,272.4,TXSD_UCCS_D3_SCAN70_v1
391,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
401,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
411,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
421,4908,55500,272.4,TXSD_UCCS_D3_SCAN70_v1
431,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
441,4908,55500,272.4,TXSD_UCCS_D3_SCAN70_v1
451,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
461,4908,55800,273.9,TXSD_UCCS_D3_SCAN70_v1
471,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
481,4908,56200,275.8,TXSD_UCCS_D3_SCAN70_v1
491,4908,56500,277.3,TXSD_UCCS_D3_SCAN70_v1
501,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
511,4912,55800,274.1,TXSD_UCCS_D3_SCAN70_v1
521,4908,57100,280.2,TXSD_UCCS_D3_SCAN70_v1
531,4908,55500,272.4,TXSD_UCCS_D3_SCAN70_v1
541,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
551,4756,110300,524.6,TXSD_UCCS_D3_SCAN70_v1
561,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
571,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
581,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
591,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
