ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D4_SCAN90, cond_id=4, tag=s4_ablation_ushuf, subject=uccs_d4_scan90_d4
# meta, ablation=u_shuf u_shuffle_seed=0xD4B40201 policy=actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02 ema_alpha=0.20 ccs_inverted=true
11,3284,55200,181.3
21,3284,55800,183.2
31,3284,55500,182.3
41,3284,55800,183.2
51,3284,55700,182.9
61,3280,55600,182.4
71,3284,56400,185.2
81,3284,54900,180.3
91,3284,56500,185.5
101,3284,54900,180.3
111,3284,56400,185.2
121,3284,54900,180.3
131,3284,56500,185.5
141,3284,54900,180.3
151,3284,77200,253.5
161,3284,54900,180.3
171,3176,187300,594.9
181,3284,55500,182.3
191,3284,55800,183.2
201,3284,55600,182.6
211,3284,55800,183.2
221,3284,56300,184.9
231,3284,55000,180.6
241,3288,56400,185.4
251,3284,54900,180.3
261,3284,56500,185.5
271,3284,54900,180.3
281,3288,56500,185.8
291,3284,54900,180.3
301,3288,56500,185.8
311,3284,54900,180.3
321,3284,56000,183.9
331,3284,55400,181.9
341,3284,55800,183.2
351,3284,55500,182.3
361,3284,55600,182.6
371,3284,56000,183.9
381,3284,55400,181.9
391,3284,56500,185.5
401,3284,54900,180.3
411,3284,56400,185.2
421,3284,54900,180.3
431,3284,56400,185.2
441,3284,54900,180.3
451,3284,56400,185.2
461,3284,54900,180.3
471,3284,56400,185.2
481,3280,55100,180.7
491,3284,55900,183.6
501,3284,55500,182.3
511,3284,55800,183.2
521,3284,55500,182.3
531,3284,55800,183.2
541,3284,56300,184.9
551,3284,54900,180.3
561,3288,56500,185.8
571,3284,54800,180.0
581,3288,56500,185.8
591,3284,54900,180.3
601,3288,56500,185.8
611,3284,54900,180.3
621,3284,56400,185.2
631,3284,54800,180.0
641,3284,55900,183.6
651,3284,55400,181.9
661,3284,55800,183.2
671,3288,55500,182.5
681,3200,217500,696.0
691,3284,56300,184.9
701,3284,55200,181.3
711,3288,56500,185.8
721,3284,54900,180.3
731,3284,56400,185.2
741,3284,54900,180.3
751,3288,56400,185.4
761,3284,54900,180.3
771,3284,56500,185.5
781,3284,54800,180.0
791,3284,56200,184.6
801,3284,55300,181.6
811,3284,55800,183.2
821,3284,55500,182.3
831,3284,55800,183.2
841,3284,55800,183.2
851,3284,55700,182.9
861,3284,56400,185.2
871,3284,54900,180.3
881,3284,56400,185.2
891,3284,54900,180.3
901,3288,56500,185.8
911,3284,54900,180.3
921,3284,56500,185.5
931,3284,54900,180.3
941,3288,56400,185.4
951,3280,55000,180.4
961,3288,55900,183.8
971,3284,55600,182.6
981,3284,55900,183.6
991,3284,55500,182.3
1001,3284,55800,183.2
1011,3284,56300,184.9
1021,3284,55000,180.6
1031,3284,56400,185.2
1041,3284,54800,180.0
1051,3284,56400,185.2
1061,3284,54900,180.3
1071,3284,56500,185.5
1081,3284,54900,180.3
1091,3284,56500,185.5
1101,3284,54900,180.3
1111,3284,56000,183.9
1121,3284,55400,181.9
1131,3284,55800,183.2
1141,3284,55500,182.3
1151,3284,55600,182.6
1161,3216,127600,410.4
1171,3284,55300,181.6
1181,3284,56400,185.2
1191,3284,54800,180.0
1201,3288,56400,185.4
1211,3284,54900,180.3
1221,3284,56400,185.2
1231,3284,54900,180.3
1241,3288,56400,185.4
1251,3284,54800,180.0
1261,3288,56400,185.4
1271,3168,142000,449.9
1281,3284,55800,183.2
1291,3284,55500,182.3
1301,3284,55800,183.2
1311,3284,55600,182.6
1321,3284,55800,183.2
1331,3288,56300,185.1
1341,3284,54900,180.3
1351,3284,56400,185.2
1361,3284,54900,180.3
1371,3172,141900,450.1
1381,3284,54900,180.3
1391,3284,56400,185.2
1401,3284,54900,180.3
1411,3284,56400,185.2
1421,3280,54900,180.1
1431,3284,55900,183.6
1441,3284,55400,181.9
1451,3284,55800,183.2
1461,3284,55500,182.3
1471,3284,55300,181.6
1481,3180,211300,671.9
1491,3284,55100,180.9
1501,3288,56400,185.4
1511,3284,54900,180.3
1521,3284,56400,185.2
1531,3284,54900,180.3
1541,3284,56500,185.5
1551,3284,54900,180.3
1561,3284,56500,185.5
1571,3284,54900,180.3
1581,3168,135700,429.9
1591,3284,55300,181.6
1601,3284,55800,183.2
1611,3284,55500,182.3
1621,3284,55800,183.2
1631,3284,55800,183.2
1641,3284,55600,182.6
1651,3288,56400,185.4
1661,3284,91900,301.8
1671,3284,56500,185.5
1681,3176,136100,432.3
1691,3284,56500,185.5
1701,3284,54900,180.3
1711,3284,56400,185.2
1721,3284,55000,180.6
1731,3288,56400,185.4
1741,3284,55000,180.6
1751,3284,55900,183.6
1761,3244,146900,476.5
1771,3288,55800,183.5
1781,3284,57700,189.5
1791,3284,55900,183.6
1801,3284,56400,185.2
1811,3284,55000,180.6
1821,3284,56500,185.5
1831,3284,54900,180.3
1842,3288,56500,185.8
1851,3284,54900,180.3
1861,3260,56800,185.2
1871,3284,54900,180.3
1881,3284,56500,185.5
