ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D4B_SCAN70, cond_id=2, cond_id_raw=2, tag=s4_fixed500, subject=uccs_d4b_scan70
11,3292,55500,182.7
20,3292,55400,182.4
30,3292,55800,183.7
40,3292,55000,181.1
50,3292,55900,184.0
60,3288,55000,180.8
70,3292,55900,184.0
80,3288,55000,180.8
90,3292,55900,184.0
100,3292,55000,181.1
110,3292,55900,184.0
120,3292,55000,181.1
130,3292,55900,184.0
140,3292,55300,182.0
150,3292,55500,182.7
160,3292,55500,182.7
170,3288,55400,182.2
180,3288,55700,183.1
190,3292,55200,181.7
200,3292,55900,184.0
210,3200,69300,221.8
220,3292,55900,184.0
230,3288,55000,180.8
240,3292,55900,184.0
250,3288,55000,180.8
260,3292,55900,184.0
270,3292,55000,181.1
280,3292,55900,184.0
290,3292,55100,181.4
300,3292,55800,183.7
310,3292,55500,182.7
320,3292,55400,182.4
330,3288,55500,182.5
340,3292,55300,182.0
350,3292,55900,184.0
360,3292,55000,181.1
370,3292,55900,184.0
380,3288,55000,180.8
390,3292,55900,184.0
400,3288,55000,180.8
410,3292,56000,184.4
420,3288,55000,180.8
430,3292,55900,184.0
440,3288,55000,180.8
450,3292,55900,184.0
460,3292,55500,182.7
470,3288,55400,182.2
480,3292,55500,182.7
490,3292,55400,182.4
500,3292,55800,183.7
510,3292,55100,181.4
520,3292,55900,184.0
530,3292,55000,181.1
540,3288,55900,183.8
550,3292,55000,181.1
560,3292,55900,184.0
570,3288,54900,180.5
580,3292,55900,184.0
590,3288,54900,180.5
600,3292,56000,184.4
610,3292,55400,182.4
620,3292,55600,183.0
630,3292,55500,182.7
640,3292,55400,182.4
650,3292,55700,183.4
660,3292,55100,181.4
670,3292,55900,184.0
680,3292,55000,181.1
690,3292,55900,184.0
700,3292,54900,180.7
710,3292,58100,191.3
720,3288,55000,180.8
730,3292,55900,184.0
740,3288,55000,180.8
750,3292,55900,184.0
760,3288,55100,181.2
770,3292,55800,183.7
780,3292,55500,182.7
790,3288,55400,182.2
800,3292,55500,182.7
810,3292,55400,182.4
820,3288,55900,183.8
830,3292,54900,180.7
840,3288,55900,183.8
850,3292,55000,181.1
860,3292,56000,184.4
870,3288,55000,180.8
880,3292,55900,184.0
890,3292,55000,181.1
900,3292,55900,184.0
910,3292,55000,181.1
920,3292,55900,184.0
930,3292,55400,182.4
940,3288,55400,182.2
950,3292,55500,182.7
960,3288,55400,182.2
970,3292,55800,183.7
980,3288,55000,180.8
990,3292,55900,184.0
1000,3288,54900,180.5
1010,3292,55900,184.0
1020,3292,55000,181.1
1030,3292,55900,184.0
1040,3288,54900,180.5
1050,3292,55900,184.0
1060,3288,54900,180.5
1070,3292,55900,184.0
1080,3292,55400,182.4
1090,3292,55500,182.7
1100,3288,55500,182.5
1110,3292,55400,182.4
1120,3292,55800,183.7
1130,3292,55200,181.7
1140,3292,55900,184.0
1150,3292,54900,180.7
1160,3292,55900,184.0
1170,3288,55000,180.8
1180,3292,55900,184.0
1190,3292,55000,181.1
1200,3292,55900,184.0
1210,3292,54900,180.7
1220,3108,133700,415.5
1230,3292,55200,181.7
1240,3288,55800,183.5
1250,3292,55500,182.7
1260,3292,55400,182.4
1270,3288,55500,182.5
1280,3292,55400,182.4
1290,3292,55900,184.0
1300,3288,55000,180.8
1310,3292,55900,184.0
1320,3292,55000,181.1
1330,3292,55900,184.0
1340,3288,55000,180.8
1350,3292,55900,184.0
1360,3292,55000,181.1
1370,3292,55900,184.0
1380,3292,54900,180.7
1390,3292,55900,184.0
1400,3292,55500,182.7
1410,3292,55400,182.4
1420,3292,55600,183.0
1430,3288,55300,181.8
1440,3292,55800,183.7
1450,3292,55000,181.1
1460,3292,55900,184.0
1470,3288,55000,180.8
1480,3292,56000,184.4
1490,3288,54900,180.5
1500,3288,55900,183.8
1510,3292,55000,181.1
1520,3292,55900,184.0
1530,3288,54900,180.5
1540,3292,56000,184.4
1550,3292,55400,182.4
1560,3288,55500,182.5
1570,3292,55500,182.7
1580,3292,55300,182.0
1590,3292,55700,183.4
1600,3292,55200,181.7
1610,3292,55900,184.0
1620,3292,55000,181.1
1630,3292,55900,184.0
1640,3288,54900,180.5
1650,3292,55800,183.7
1660,3288,55000,180.8
1670,3292,55900,184.0
1680,3288,55000,180.8
1690,3292,55900,184.0
1700,3288,55100,181.2
1710,3292,55800,183.7
1720,3292,124600,410.2
1730,3292,55500,182.7
1740,3292,55600,183.0
1750,3288,55300,181.8
1760,3292,55900,184.0
1770,3288,55000,180.8
1780,3292,55900,184.0
1790,3288,55000,180.8
1800,3292,55900,184.0
1810,3288,54900,180.5
1820,3292,55900,184.0
1830,3288,54900,180.5
1841,3292,56000,184.4
1850,3292,55000,181.1
1860,3292,55900,184.0
1870,3292,55400,182.4
1880,3292,55400,182.4
1890,3292,55600,183.0
1900,3292,55300,182.0
1910,3292,55800,183.7
1920,3292,55000,181.1
1930,3292,55900,184.0
1940,3288,55000,180.8
1950,3292,55800,183.7
1960,3288,54900,180.5
1970,3292,55900,184.0
1980,3292,54900,180.7
1990,3292,55900,184.0
2000,3288,55000,180.8
2010,3292,55900,184.0
2020,3288,55500,182.5
2030,3292,55400,182.4
2040,3292,55500,182.7
2050,3292,55400,182.4
2060,3288,55800,183.5
2070,3292,55000,181.1
2080,3292,55900,184.0
2090,3292,54900,180.7
2100,3292,55900,184.0
2110,3292,54900,180.7
2120,3292,56000,184.4
2130,3292,54900,180.7
2140,3292,55900,184.0
2150,3288,55000,180.8
2160,3292,56000,184.4
2170,3288,55400,182.2
2180,3292,55400,182.4
2190,3288,55600,182.8
2200,3292,55300,182.0
2210,3292,55800,183.7
2220,3288,55000,180.8
2230,3184,141800,451.5
2240,3288,55000,180.8
2250,3288,56000,184.1
2260,3288,54900,180.5
2270,3292,55900,184.0
2280,3292,54900,180.7
2290,3292,55900,184.0
2300,3288,55000,180.8
2310,3288,55900,183.8
2320,3288,55500,182.5
2330,3292,55500,182.7
2340,3292,55500,182.7
2350,3292,55400,182.4
2360,3288,55800,183.5
2370,3288,55100,181.2
2380,3292,55900,184.0
2390,3288,54900,180.5
