ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D4B_SCAN70, cond_id=3, cond_id_raw=3, tag=s4_policy, subject=uccs_d4b_scan70
# meta, policy=U+CCS actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02 ema_alpha=0.20 ccs_inverted=true
11,3292,55900,184.0
21,3288,55000,180.8
31,3292,55600,183.0
41,3288,55400,182.2
51,3292,55400,182.4
61,3288,55500,182.5
71,3288,55200,181.5
81,3292,55800,183.7
91,3288,55100,181.2
101,3292,55900,184.0
111,3288,55000,180.8
121,3288,55900,183.8
131,3292,55000,181.1
141,3292,55900,184.0
151,3288,55000,180.8
161,3292,55900,184.0
171,3288,55100,181.2
181,3292,55800,183.7
191,3288,55300,181.8
201,3292,55400,182.4
211,3264,60500,197.5
221,3184,141900,451.8
231,3256,56800,184.9
241,3288,55700,183.1
251,3292,55900,184.0
261,3292,55000,181.1
271,3292,56000,184.4
281,3288,55000,180.8
291,3292,56000,184.4
301,3292,55000,181.1
311,3276,56100,183.8
321,3288,55000,180.8
331,3292,55900,184.0
341,3288,55200,181.5
351,3288,55400,182.2
361,3292,55600,183.0
371,3292,55400,182.4
381,3288,55600,182.8
391,3288,55900,183.8
401,3292,56000,184.4
411,3288,77600,255.1
421,3268,56200,183.7
431,3176,189000,600.3
441,3288,56000,184.1
451,3288,55000,180.8
461,3292,56000,184.4
471,3288,55000,180.8
481,3292,56000,184.4
491,3288,55000,180.8
501,3288,55500,182.5
511,3260,60500,197.2
521,3292,55400,182.4
531,3224,154800,499.1
541,3292,55900,184.0
551,3292,55900,184.0
561,3288,55100,181.2
571,3292,56000,184.4
581,3288,55000,180.8
591,3292,56000,184.4
601,3288,55000,180.8
611,3272,56200,183.9
621,3288,55000,180.8
631,3292,56000,184.4
641,3260,160300,522.6
651,3292,55500,182.7
661,3288,55600,182.8
671,3292,55400,182.4
681,3288,55600,182.8
691,3288,55100,181.2
701,3292,55900,184.0
711,3288,82900,272.6
721,3292,56000,184.4
731,3288,55000,180.8
741,3292,58300,191.9
751,3288,55100,181.2
761,3292,56000,184.4
771,3288,55100,181.2
781,3292,55900,184.0
791,3288,55000,180.8
801,3288,55500,182.5
811,3260,60900,198.5
821,3288,55400,182.2
831,3292,55500,182.7
841,3292,55100,181.4
851,3184,142700,454.4
861,3288,55200,181.5
871,3292,56000,184.4
881,3288,55000,180.8
891,3292,55900,184.0
901,3288,55000,180.8
911,3268,56200,183.7
921,3288,55000,180.8
931,3292,56000,184.4
941,3288,55000,180.8
951,3292,55500,182.7
961,3188,194300,619.4
971,3288,55300,181.8
981,3288,55500,182.5
991,3288,55200,181.5
1001,3292,55800,183.7
1011,3288,83700,275.2
1021,3288,56000,184.1
1031,3288,55100,181.2
1041,3292,56000,184.4
1051,3292,55000,181.1
1061,3292,58000,190.9
1071,3288,55100,181.2
1081,3292,55900,184.0
1091,3288,55000,180.8
1101,3292,55700,183.4
1111,3264,61800,201.7
1121,3288,55400,182.2
1131,3288,55500,182.5
1141,3292,55300,182.0
1151,3292,55800,183.7
1161,3288,55500,182.5
1171,3120,96800,302.0
1181,3288,55000,180.8
1191,3292,56000,184.4
1201,3288,55000,180.8
1211,3260,56300,183.5
1221,3288,55000,180.8
1231,3292,56000,184.4
1241,3288,55000,180.8
1251,3292,55800,183.7
1261,3288,55400,182.2
1271,3164,147900,468.0
1281,3288,55600,182.8
1291,3292,55400,182.4
1301,3288,55700,183.1
1311,3288,85200,280.1
1321,3292,56000,184.4
1331,3288,55100,181.2
1341,3292,56000,184.4
1351,3288,55000,180.8
1361,3292,56000,184.4
1371,3288,55000,180.8
1381,3160,59000,186.4
1391,3288,55100,181.2
1401,3292,56000,184.4
1411,3264,67100,219.0
1421,3292,55500,182.7
1431,3292,55600,183.0
1441,3292,55400,182.4
1451,3292,55600,183.0
1461,3288,55900,183.8
1471,3292,56000,184.4
1481,3288,55100,181.2
1491,3292,56000,184.4
1501,3288,55100,181.2
1511,3264,56200,183.4
1521,3288,55000,180.8
1531,3292,55900,184.0
1541,3288,55000,180.8
1551,3292,55900,184.0
1561,3288,55100,181.2
1571,3288,55500,182.5
1581,3292,55500,182.7
1591,3288,67300,221.3
1601,3288,55600,182.8
1611,3288,75200,247.3
1621,3288,56000,184.1
1631,3288,55100,181.2
1641,3292,56000,184.4
1651,3288,55000,180.8
1661,3292,55900,184.0
1671,3288,55000,180.8
1681,3292,56000,184.4
1691,3288,55000,180.8
1701,3188,142700,454.9
1711,3268,68300,223.2
1721,3292,55500,182.7
1731,3288,55600,182.8
1741,3288,55400,182.2
1751,3288,55600,182.8
1761,3292,55000,181.1
1771,3288,55900,183.8
1781,3292,55200,181.7
1791,3292,56000,184.4
1801,3188,141600,451.4
1811,3260,56300,183.5
1821,3288,55000,180.8
1831,3292,56000,184.4
1841,3288,55100,181.2
1851,3292,56000,184.4
1861,3288,55000,180.8
1871,3292,55600,183.0
1881,3288,55500,182.5
1891,3288,55400,182.2
1901,3292,57800,190.3
1911,3288,73200,240.7
1921,3288,55900,183.8
1931,3292,55200,181.7
1941,3292,56000,184.4
1951,3288,55100,181.2
1961,3292,55900,184.0
1971,3288,55000,180.8
1981,3292,56000,184.4
1991,3288,55000,180.8
2001,3292,56000,184.4
2011,3116,234300,730.1
2021,3292,55500,182.7
2031,3292,55500,182.7
2041,3288,55400,182.2
2051,3288,55600,182.8
2061,3292,56000,184.4
2071,3288,55900,183.8
2081,3288,55100,181.2
2091,3292,56000,184.4
2101,3288,55000,180.8
2111,3076,186800,574.6
2121,3288,55000,180.8
2131,3292,55900,184.0
2141,3292,55000,181.1
2151,3292,56000,184.4
2161,3288,55100,181.2
2171,3292,55400,182.4
2181,3292,55500,182.7
2191,3292,55300,182.0
2201,3288,55600,182.8
2211,3156,122900,387.9
2221,3292,56000,184.4
2231,3288,55100,181.2
2241,3292,56000,184.4
2251,3288,55000,180.8
2261,3292,56000,184.4
2271,3288,55000,180.8
2281,3288,56000,184.1
2291,3288,55000,180.8
2301,3292,56000,184.4
2311,3268,65900,215.4
2321,3120,132300,412.8
2331,3288,55600,182.8
2341,3292,55400,182.4
2351,3288,55700,183.1
2361,3288,55900,183.8
2371,3292,56000,184.4
2381,3292,55100,181.4
2391,3288,56000,184.1
2401,3288,55000,180.8
2411,3264,56300,183.8
2421,3180,141900,451.2
2431,3292,56000,184.4
2441,3288,55100,181.2
2451,3292,55900,184.0
2461,3288,55300,181.8
2471,3292,55400,182.4
2481,3288,55600,182.8
