ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D4B_SCAN70, cond_id=4, cond_id_raw=4, tag=s4_ablation_ccs_off, subject=uccs_d4b_scan70
# meta, ablation=ccs_off policy=U_only actions{100,500} u_mid=0.20 u_high=0.35 hyst=0.02 ema_alpha=0.20
11,3292,56000,184.4
21,3288,55100,181.2
31,3292,56000,184.4
41,3292,55400,182.4
51,3292,55600,183.0
61,3288,55600,182.8
71,3288,55400,182.2
81,3292,55600,183.0
91,3292,55300,182.0
101,3292,55900,184.0
111,3288,55000,180.8
121,3292,55900,184.0
131,3292,55100,181.4
141,3292,56000,184.4
151,3292,55000,181.1
161,3292,56000,184.4
171,3292,55000,181.1
181,3292,56000,184.4
191,3292,55400,182.4
201,3292,55700,183.4
211,3248,163400,530.7
221,3288,55500,182.5
231,3292,55600,183.0
241,3288,55300,181.8
251,3292,55900,184.0
261,3288,55100,181.2
271,3292,56000,184.4
281,3288,55000,180.8
291,3292,56000,184.4
301,3292,55000,181.1
311,3292,56000,184.4
321,3292,55100,181.4
331,3292,56000,184.4
341,3288,55300,181.8
351,3292,55800,183.7
361,3292,55700,183.4
371,3292,55400,182.4
381,3292,55600,183.0
391,3288,55400,182.2
401,3292,55800,183.7
411,3288,55100,181.2
421,3184,143700,457.5
431,3288,55000,180.8
441,3292,56000,184.4
451,3292,55100,181.4
461,3292,56000,184.4
471,3288,55000,180.8
481,3292,56000,184.4
491,3292,55200,181.7
501,3292,55900,184.0
511,3292,55600,183.0
521,3292,55400,182.4
531,3104,132500,411.3
541,3288,55500,182.5
551,3288,55800,183.5
561,3292,55100,181.4
571,3292,56000,184.4
581,3292,55000,181.1
591,3292,56000,184.4
601,3292,55000,181.1
611,3292,56000,184.4
621,3288,55100,181.2
631,3184,144000,458.5
641,3292,55100,181.4
651,3292,56000,184.4
661,3292,55600,183.0
671,3292,55500,182.7
681,3292,55600,183.0
691,3292,55400,182.4
701,3292,55700,183.4
711,3288,55100,181.2
721,3292,55900,184.0
731,3188,141800,452.1
741,3292,56000,184.4
751,3292,55000,181.1
761,3292,56100,184.7
771,3292,55100,181.4
781,3292,56000,184.4
791,3292,55100,181.4
801,3292,56000,184.4
811,3292,55600,183.0
821,3288,55500,182.5
831,3292,55700,183.4
841,3184,143500,456.9
851,3288,55700,183.1
861,3288,55100,181.2
871,3292,56000,184.4
881,3288,55100,181.2
891,3292,56000,184.4
901,3288,55100,181.2
911,3292,56000,184.4
921,3288,55100,181.2
931,3292,56000,184.4
941,3188,143700,458.1
951,3292,56100,184.7
961,3292,55700,183.4
971,3292,55500,182.7
981,3292,55600,183.0
991,3292,55500,182.7
1001,3288,55700,183.1
1011,3292,55200,181.7
1021,3292,56000,184.4
1031,3288,55100,181.2
1041,3292,56000,184.4
1051,3112,135100,420.4
1061,3292,56100,184.7
1071,3292,55100,181.4
1081,3292,56000,184.4
1091,3288,55000,180.8
1101,3292,56100,184.7
1111,3288,55600,182.8
1121,3288,55600,182.8
1131,3292,55700,183.4
1141,3292,55400,182.4
1151,3196,196400,627.7
1161,3288,55200,181.5
1171,3292,56000,184.4
1181,3292,55100,181.4
1191,3292,56000,184.4
1201,3288,55000,180.8
1211,3292,56100,184.7
1221,3288,55100,181.2
1231,3292,56000,184.4
1241,3288,55000,180.8
1251,3252,159600,519.0
1261,3288,55500,182.5
1271,3288,55700,183.1
1281,3292,55700,183.4
1291,3292,55400,182.4
1301,3292,55600,183.0
1311,3288,55200,181.5
1321,3292,55900,184.0
1331,3292,55100,181.4
1341,3292,56000,184.4
1351,3288,55100,181.2
1361,3184,57200,182.1
1371,3292,55100,181.4
1381,3292,56000,184.4
1391,3292,55100,181.4
1401,3292,56000,184.4
1411,3288,55400,182.2
1421,3292,55800,183.7
1431,3292,55700,183.4
1441,3292,55500,182.7
1451,3288,55600,182.8
1461,3184,141000,448.9
1471,3292,55900,184.0
1481,3288,55100,181.2
1491,3292,56000,184.4
1501,3288,55000,180.8
1511,3292,56000,184.4
1521,3288,55100,181.2
1531,3292,56100,184.7
1541,3288,55100,181.2
1551,3292,56000,184.4
1561,3292,55300,182.0
1571,3172,184100,584.0
1581,3292,55800,183.7
1591,3292,55500,182.7
1601,3292,55700,183.4
1611,3288,55500,182.5
1621,3292,55800,183.7
1631,3292,55100,181.4
1641,3292,56000,184.4
1651,3292,55100,181.4
1661,3288,56100,184.5
1671,3288,55600,182.8
1681,3292,56100,184.7
1691,3292,55100,181.4
1701,3292,56000,184.4
1711,3288,55200,181.5
1721,3292,56000,184.4
1731,3292,55600,183.0
1741,3292,55500,182.7
1751,3292,55600,183.0
1761,3288,55500,182.5
1771,3292,55700,183.4
1781,3112,134800,419.5
1791,3292,56100,184.7
1801,3292,55000,181.1
1811,3292,56000,184.4
1821,3288,55100,181.2
1831,3292,56000,184.4
1841,3292,55100,181.4
1851,3292,56000,184.4
1861,3288,55100,181.2
1871,3292,56100,184.7
1881,3292,55600,183.0
1891,3244,55900,181.3
1901,3288,55700,183.1
1911,3288,55400,182.2
1921,3292,55800,183.7
1931,3288,55100,181.2
1941,3288,56100,184.5
1951,3288,55100,181.2
1961,3292,56000,184.4
1971,3288,55100,181.2
1981,3292,56000,184.4
1991,3164,141400,447.4
2001,3292,56000,184.4
2011,3288,55200,181.5
2021,3292,56000,184.4
2031,3288,55700,183.1
2041,3292,55400,182.4
2051,3288,55700,183.1
2061,3292,55500,182.7
2071,3292,55900,184.0
2081,3288,55100,181.2
2091,3288,56000,184.1
2101,3184,142100,452.4
2111,3292,56000,184.4
2121,3292,55100,181.4
2131,3292,56100,184.7
2141,3292,55000,181.1
2151,3292,56100,184.7
2161,3288,55300,181.8
2171,3288,55800,183.5
2181,3292,55600,183.0
2191,3292,55500,182.7
2201,3292,55600,183.0
2211,3196,217200,694.2
2221,3292,55900,184.0
2231,3292,55100,181.4
2241,3288,56100,184.5
2251,3292,55100,181.4
2261,3292,56100,184.7
2271,3292,55100,181.4
2281,3292,56000,184.4
2291,3288,55100,181.2
2301,3292,56100,184.7
2311,3184,144600,460.4
2321,3292,55700,183.4
2331,3288,55600,182.8
2341,3292,55500,182.7
2351,3292,55600,183.0
2361,3288,55300,181.8
2371,3292,55900,184.0
2381,3288,55100,181.2
2391,3288,56000,184.1
2401,3288,55000,180.8
2411,3292,56100,184.7
2421,3288,55200,181.5
2431,3288,56000,184.1
2441,3288,55100,181.2
2451,3292,56100,184.7
2461,3288,55500,182.5
2471,3292,55600,183.0
2481,3292,55600,183.0
2491,3292,55400,182.4
2501,3292,55600,183.0
2511,3292,55200,181.7
2521,3292,56000,184.4
2531,3284,55300,181.6
2541,3292,56000,184.4
2551,3288,55100,181.2
2561,3288,56000,184.1
2571,3288,55100,181.2
2581,3292,56100,184.7
2591,3292,55100,181.4
2601,3292,56000,184.4
2611,3288,55600,182.8
2621,3292,55500,182.7
2631,3160,135600,428.5
2641,3292,55400,182.4
2651,3288,55700,183.1
2661,3288,55300,181.8
2671,3288,56000,184.1
2681,3288,55000,180.8
2691,3292,56000,184.4
2701,3288,55100,181.2
2711,3292,56000,184.4
2721,3292,55100,181.4
2731,3188,143700,458.1
2741,3292,55000,181.1
2751,3292,56100,184.7
2761,3292,55600,183.0
2771,3292,55600,183.0
2781,3292,55600,183.0
2791,3292,55400,182.4
2801,3292,55700,183.4
2811,3292,55100,181.4
2821,3292,55900,184.0
2831,3184,142000,452.1
2841,3292,56000,184.4
2851,3288,55100,181.2
2861,3292,56100,184.7
2871,3292,55100,181.4
2881,3292,56100,184.7
2891,3288,55000,180.8
2901,3292,56000,184.4
2911,3292,55600,183.0
2921,3288,55500,182.5
2931,3288,55600,182.8
2941,3188,143200,456.5
2951,3292,55600,183.0
2961,3292,55100,181.4
2971,3292,56000,184.4
2981,3288,55000,180.8
2991,3292,56100,184.7
3001,3288,55100,181.2
3011,3292,56000,184.4
3021,3288,55100,181.2
3031,3292,56100,184.7
3041,3184,145500,463.3
3051,3292,56000,184.4
3061,3292,55600,183.0
3071,3292,55600,183.0
3081,3292,55600,183.0
3091,3292,55500,182.7
3101,3292,55700,183.4
3111,3288,55100,181.2
3121,3292,56000,184.4
3131,3288,55100,181.2
3141,3292,56100,184.7
3151,3292,55100,181.4
3161,3292,56100,184.7
3171,3292,55100,181.4
3181,3292,56100,184.7
3191,3292,55200,181.7
3201,3292,55900,184.0
3211,3292,55700,183.4
3221,3292,55500,182.7
3231,3292,55700,183.4
3241,3292,55500,182.7
3251,3196,136700,436.9
3261,3288,55000,180.8
3271,3292,56000,184.4
3281,3288,55100,181.2
3291,3292,56100,184.7
3301,3292,55100,181.4
3311,3292,56100,184.7
3321,3288,55100,181.2
3331,3292,56000,184.4
3341,3292,55400,182.4
3351,3288,55800,183.5
3361,3196,135200,432.1
3371,3288,55500,182.5
3381,3292,55700,183.4
3391,3288,55300,181.8
3401,3292,55900,184.0
3411,3288,55100,181.2
3421,3292,56100,184.7
3431,3292,55100,181.4
3441,3292,56100,184.7
3451,3292,55100,181.4
3461,3276,156900,514.0
3471,3288,55100,181.2
3481,3292,56100,184.7
3491,3292,55400,182.4
3501,3288,55700,183.1
3511,3292,55700,183.4
3521,3292,55500,182.7
3531,3288,55600,182.8
3541,3292,55300,182.0
3551,3288,56000,184.1
3561,3292,55100,181.4
3571,3192,136900,437.0
