ms,event,rssi,seq,label,addr,mfd,program_id
# meta, firmware=RX_UCCS_D4B_SCAN70, buf_size=512
# meta, scan_interval_ms=100.0, scan_window_ms=70.0
# condition_label=U4-10-100
182,ADV,-34,120,U4-10-100,e0:5a:1b:15:b2:ee,120_U4-10-100,RX_UCCS_D4B_SCAN70_v1
802,ADV,-41,126,U4-10-100,e0:5a:1b:15:b2:ee,126_U4-10-100,RX_UCCS_D4B_SCAN70_v1
1238,ADV,-41,131,U4-10-100,e0:5a:1b:15:b2:ee,131_U4-10-100,RX_UCCS_D4B_SCAN70_v1
1742,ADV,-41,136,U4-10-100,e0:5a:1b:15:b2:ee,136_U4-10-100,RX_UCCS_D4B_SCAN70_v1
2261,ADV,-40,141,U4-10-100,e0:5a:1b:15:b2:ee,141_U4-10-100,RX_UCCS_D4B_SCAN70_v1
2887,ADV,-35,147,U4-10-100,e0:5a:1b:15:b2:ee,147_U4-10-100,RX_UCCS_D4B_SCAN70_v1
3302,ADV,-35,151,U4-10-100,e0:5a:1b:15:b2:ee,151_U4-10-100,RX_UCCS_D4B_SCAN70_v1
3841,ADV,-35,157,U4-10-100,e0:5a:1b:15:b2:ee,157_U4-10-100,RX_UCCS_D4B_SCAN70_v1
4262,ADV,-34,161,U4-10-100,e0:5a:1b:15:b2:ee,161_U4-10-100,RX_UCCS_D4B_SCAN70_v1
5241,ADV,-36,171,U4-10-500,e0:5a:1b:15:b2:ee,171_U4-10-500,RX_UCCS_D4B_SCAN70_v1
5743,ADV,-35,176,U4-10-500,e0:5a:1b:15:b2:ee,176_U4-10-500,RX_UCCS_D4B_SCAN70_v1
6259,ADV,-34,181,U4-10-500,e0:5a:1b:15:b2:ee,181_U4-10-500,RX_UCCS_D4B_SCAN70_v1
7774,ADV,-35,196,U4-10-500,e0:5a:1b:15:b2:ee,196_U4-10-500,RX_UCCS_D4B_SCAN70_v1
8288,ADV,-35,201,U4-10-500,e0:5a:1b:15:b2:ee,201_U4-10-500,RX_UCCS_D4B_SCAN70_v1
9302,ADV,-38,211,U4-10-500,e0:5a:1b:15:b2:ee,211_U4-10-500,RX_UCCS_D4B_SCAN70_v1
10825,ADV,-40,227,U4-10-500,e0:5a:1b:15:b2:ee,227_U4-10-500,RX_UCCS_D4B_SCAN70_v1
11319,ADV,-40,232,U4-10-500,e0:5a:1b:15:b2:ee,232_U4-10-500,RX_UCCS_D4B_SCAN70_v1
11822,ADV,-39,237,U4-10-500,e0:5a:1b:15:b2:ee,237_U4-10-500,RX_UCCS_D4B_SCAN70_v1
12743,ADV,-39,246,U4-06-100,e0:5a:1b:15:b2:ee,246_U4-06-100,RX_UCCS_D4B_SCAN70_v1
13142,ADV,-35,250,U4-06-100,e0:5a:1b:15:b2:ee,250_U4-06-100,RX_UCCS_D4B_SCAN70_v1
13782,ADV,-39,256,U4-06-100,e0:5a:1b:15:b2:ee,256_U4-06-100,RX_UCCS_D4B_SCAN70_v1
14093,ADV,-35,259,U4-06-100,e0:5a:1b:15:b2:ee,259_U4-06-100,RX_UCCS_D4B_SCAN70_v1
14720,ADV,-40,266,U4-06-100,e0:5a:1b:15:b2:ee,266_U4-06-100,RX_UCCS_D4B_SCAN70_v1
15134,ADV,-40,270,U4-06-100,e0:5a:1b:15:b2:ee,270_U4-06-100,RX_UCCS_D4B_SCAN70_v1
15662,ADV,-40,275,U4-06-100,e0:5a:1b:15:b2:ee,275_U4-06-100,RX_UCCS_D4B_SCAN70_v1
16079,ADV,-40,279,U4-06-100,e0:5a:1b:15:b2:ee,279_U4-06-100,RX_UCCS_D4B_SCAN70_v1
16608,ADV,-40,284,U4-06-100,e0:5a:1b:15:b2:ee,284_U4-06-100,RX_UCCS_D4B_SCAN70_v1
17118,ADV,-40,290,U4-06-100,e0:5a:1b:15:b2:ee,290_U4-06-100,RX_UCCS_D4B_SCAN70_v1
17734,ADV,-35,296,U4-06-500,e0:5a:1b:15:b2:ee,296_U4-06-500,RX_UCCS_D4B_SCAN70_v1
18238,ADV,-35,301,U4-06-500,e0:5a:1b:15:b2:ee,301_U4-06-500,RX_UCCS_D4B_SCAN70_v1
18738,ADV,-35,306,U4-06-500,e0:5a:1b:15:b2:ee,306_U4-06-500,RX_UCCS_D4B_SCAN70_v1
20261,ADV,-35,321,U4-06-500,e0:5a:1b:15:b2:ee,321_U4-06-500,RX_UCCS_D4B_SCAN70_v1
21272,ADV,-35,331,U4-06-500,e0:5a:1b:15:b2:ee,331_U4-06-500,RX_UCCS_D4B_SCAN70_v1
21765,ADV,-35,336,U4-06-500,e0:5a:1b:15:b2:ee,336_U4-06-500,RX_UCCS_D4B_SCAN70_v1
22242,ADV,-38,341,U4-07-100,e0:5a:1b:15:b2:ee,341_U4-07-100,RX_UCCS_D4B_SCAN70_v1
22882,ADV,-40,347,U4-07-100,e0:5a:1b:15:b2:ee,347_U4-07-100,RX_UCCS_D4B_SCAN70_v1
23299,ADV,-40,351,U4-07-100,e0:5a:1b:15:b2:ee,351_U4-07-100,RX_UCCS_D4B_SCAN70_v1
23816,ADV,-41,356,U4-07-100,e0:5a:1b:15:b2:ee,356_U4-07-100,RX_UCCS_D4B_SCAN70_v1
24022,ADV,-35,359,U4-07-100,e0:5a:1b:15:b2:ee,359_U4-07-100,RX_UCCS_D4B_SCAN70_v1
24237,ADV,-40,361,U4-07-100,e0:5a:1b:15:b2:ee,361_U4-07-100,RX_UCCS_D4B_SCAN70_v1
24763,ADV,-40,366,U4-11-100,e0:5a:1b:15:b2:ee,366_U4-11-100,RX_UCCS_D4B_SCAN70_v1
25291,ADV,-40,371,U4-11-100,e0:5a:1b:15:b2:ee,371_U4-11-100,RX_UCCS_D4B_SCAN70_v1
25931,ADV,-35,378,U4-04-100,e0:5a:1b:15:b2:ee,378_U4-04-100,RX_UCCS_D4B_SCAN70_v1
26254,ADV,-40,381,U4-04-100,e0:5a:1b:15:b2:ee,381_U4-04-100,RX_UCCS_D4B_SCAN70_v1
27214,ADV,-39,390,U4-04-100,e0:5a:1b:15:b2:ee,390_U4-04-100,RX_UCCS_D4B_SCAN70_v1
27615,ADV,-40,394,U4-04-100,e0:5a:1b:15:b2:ee,394_U4-04-100,RX_UCCS_D4B_SCAN70_v1
28143,ADV,-40,400,U4-04-100,e0:5a:1b:15:b2:ee,400_U4-04-100,RX_UCCS_D4B_SCAN70_v1
29072,ADV,-40,409,U4-04-100,e0:5a:1b:15:b2:ee,409_U4-04-100,RX_UCCS_D4B_SCAN70_v1
29596,ADV,-40,414,U4-04-100,e0:5a:1b:15:b2:ee,414_U4-04-100,RX_UCCS_D4B_SCAN70_v1
30016,ADV,-40,418,U4-04-100,e0:5a:1b:15:b2:ee,418_U4-04-100,RX_UCCS_D4B_SCAN70_v1
30742,ADV,-35,426,U4-04-500,e0:5a:1b:15:b2:ee,426_U4-04-500,RX_UCCS_D4B_SCAN70_v1
31348,ADV,-38,432,U4-10-100,e0:5a:1b:15:b2:ee,432_U4-10-100,RX_UCCS_D4B_SCAN70_v1
31776,ADV,-38,436,U4-10-100,e0:5a:1b:15:b2:ee,436_U4-10-100,RX_UCCS_D4B_SCAN70_v1
32309,ADV,-35,441,U4-10-100,e0:5a:1b:15:b2:ee,441_U4-10-100,RX_UCCS_D4B_SCAN70_v1
32942,ADV,-40,448,U4-10-100,e0:5a:1b:15:b2:ee,448_U4-10-100,RX_UCCS_D4B_SCAN70_v1
33457,ADV,-40,453,U4-10-100,e0:5a:1b:15:b2:ee,453_U4-10-100,RX_UCCS_D4B_SCAN70_v1
33870,ADV,-40,457,U4-10-100,e0:5a:1b:15:b2:ee,457_U4-10-100,RX_UCCS_D4B_SCAN70_v1
34392,ADV,-40,462,U4-10-100,e0:5a:1b:15:b2:ee,462_U4-10-100,RX_UCCS_D4B_SCAN70_v1
35019,ADV,-36,469,U4-10-100,e0:5a:1b:15:b2:ee,469_U4-10-100,RX_UCCS_D4B_SCAN70_v1
35534,ADV,-36,474,U4-10-500,e0:5a:1b:15:b2:ee,474_U4-10-500,RX_UCCS_D4B_SCAN70_v1
37048,ADV,-35,489,U4-10-500,e0:5a:1b:15:b2:ee,489_U4-10-500,RX_UCCS_D4B_SCAN70_v1
38063,ADV,-35,499,U4-10-500,e0:5a:1b:15:b2:ee,499_U4-10-500,RX_UCCS_D4B_SCAN70_v1
38568,ADV,-35,504,U4-10-500,e0:5a:1b:15:b2:ee,504_U4-10-500,RX_UCCS_D4B_SCAN70_v1
40090,ADV,-40,519,U4-10-500,e0:5a:1b:15:b2:ee,519_U4-10-500,RX_UCCS_D4B_SCAN70_v1
40590,ADV,-41,524,U4-10-500,e0:5a:1b:15:b2:ee,524_U4-10-500,RX_UCCS_D4B_SCAN70_v1
41084,ADV,-40,529,U4-10-500,e0:5a:1b:15:b2:ee,529_U4-10-500,RX_UCCS_D4B_SCAN70_v1
41590,ADV,-40,534,U4-10-500,e0:5a:1b:15:b2:ee,534_U4-10-500,RX_UCCS_D4B_SCAN70_v1
42085,ADV,-40,539,U4-10-500,e0:5a:1b:15:b2:ee,539_U4-10-500,RX_UCCS_D4B_SCAN70_v1
43598,ADV,-35,554,U4-10-500,e0:5a:1b:15:b2:ee,554_U4-10-500,RX_UCCS_D4B_SCAN70_v1
44094,ADV,-35,559,U4-10-500,e0:5a:1b:15:b2:ee,559_U4-10-500,RX_UCCS_D4B_SCAN70_v1
44607,ADV,-35,564,U4-10-500,e0:5a:1b:15:b2:ee,564_U4-10-500,RX_UCCS_D4B_SCAN70_v1
45609,ADV,-36,574,U4-10-500,e0:5a:1b:15:b2:ee,574_U4-10-500,RX_UCCS_D4B_SCAN70_v1
47123,ADV,-34,590,U4-10-500,e0:5a:1b:15:b2:ee,590_U4-10-500,RX_UCCS_D4B_SCAN70_v1
47637,ADV,-33,595,U4-10-500,e0:5a:1b:15:b2:ee,595_U4-10-500,RX_UCCS_D4B_SCAN70_v1
48143,ADV,-34,600,U4-10-500,e0:5a:1b:15:b2:ee,600_U4-10-500,RX_UCCS_D4B_SCAN70_v1
48643,ADV,-34,605,U4-03-500,e0:5a:1b:15:b2:ee,605_U4-03-500,RX_UCCS_D4B_SCAN70_v1
49266,ADV,-41,611,U4-03-100,e0:5a:1b:15:b2:ee,611_U4-03-100,RX_UCCS_D4B_SCAN70_v1
49912,ADV,-35,617,U4-07-100,e0:5a:1b:15:b2:ee,617_U4-07-100,RX_UCCS_D4B_SCAN70_v1
50323,ADV,-35,622,U4-07-100,e0:5a:1b:15:b2:ee,622_U4-07-100,RX_UCCS_D4B_SCAN70_v1
50837,ADV,-35,627,U4-07-100,e0:5a:1b:15:b2:ee,627_U4-07-100,RX_UCCS_D4B_SCAN70_v1
51374,ADV,-36,632,U4-07-100,e0:5a:1b:15:b2:ee,632_U4-07-100,RX_UCCS_D4B_SCAN70_v1
52001,ADV,-34,638,U4-07-100,e0:5a:1b:15:b2:ee,638_U4-07-100,RX_UCCS_D4B_SCAN70_v1
52306,ADV,-35,641,U4-07-100,e0:5a:1b:15:b2:ee,641_U4-07-100,RX_UCCS_D4B_SCAN70_v1
52940,ADV,-33,648,U4-03-100,e0:5a:1b:15:b2:ee,648_U4-03-100,RX_UCCS_D4B_SCAN70_v1
53456,ADV,-34,653,U4-03-100,e0:5a:1b:15:b2:ee,653_U4-03-100,RX_UCCS_D4B_SCAN70_v1
53782,ADV,-35,656,U4-03-100,e0:5a:1b:15:b2:ee,656_U4-03-100,RX_UCCS_D4B_SCAN70_v1
54197,ADV,-35,660,U4-03-100,e0:5a:1b:15:b2:ee,660_U4-03-100,RX_UCCS_D4B_SCAN70_v1
54721,ADV,-35,666,U4-03-100,e0:5a:1b:15:b2:ee,666_U4-03-100,RX_UCCS_D4B_SCAN70_v1
55130,ADV,-35,670,U4-03-100,e0:5a:1b:15:b2:ee,670_U4-03-100,RX_UCCS_D4B_SCAN70_v1
55765,ADV,-33,676,U4-03-100,e0:5a:1b:15:b2:ee,676_U4-03-100,RX_UCCS_D4B_SCAN70_v1
56300,ADV,-34,681,U4-09-100,e0:5a:1b:15:b2:ee,681_U4-09-100,RX_UCCS_D4B_SCAN70_v1
56820,ADV,-34,687,U4-09-100,e0:5a:1b:15:b2:ee,687_U4-09-100,RX_UCCS_D4B_SCAN70_v1
57453,ADV,-40,693,U4-09-100,e0:5a:1b:15:b2:ee,693_U4-09-100,RX_UCCS_D4B_SCAN70_v1
57874,ADV,-40,697,U4-09-100,e0:5a:1b:15:b2:ee,697_U4-09-100,RX_UCCS_D4B_SCAN70_v1
58190,ADV,-34,700,U4-09-100,e0:5a:1b:15:b2:ee,700_U4-09-100,RX_UCCS_D4B_SCAN70_v1
58703,ADV,-34,705,U4-09-100,e0:5a:1b:15:b2:ee,705_U4-09-100,RX_UCCS_D4B_SCAN70_v1
59344,ADV,-41,712,U4-09-100,e0:5a:1b:15:b2:ee,712_U4-09-100,RX_UCCS_D4B_SCAN70_v1
59855,ADV,-40,717,U4-08-100,e0:5a:1b:15:b2:ee,717_U4-08-100,RX_UCCS_D4B_SCAN70_v1
60477,ADV,-35,723,U4-08-100,e0:5a:1b:15:b2:ee,723_U4-08-100,RX_UCCS_D4B_SCAN70_v1
61108,ADV,-33,729,U4-07-100,e0:5a:1b:15:b2:ee,729_U4-07-100,RX_UCCS_D4B_SCAN70_v1
61622,ADV,-34,735,U4-07-100,e0:5a:1b:15:b2:ee,735_U4-07-100,RX_UCCS_D4B_SCAN70_v1
62384,ADV,-36,742,U4-07-100,e0:5a:1b:15:b2:ee,742_U4-07-100,RX_UCCS_D4B_SCAN70_v1
62990,ADV,-34,748,U4-07-100,e0:5a:1b:15:b2:ee,748_U4-07-100,RX_UCCS_D4B_SCAN70_v1
63302,ADV,-35,751,U4-07-100,e0:5a:1b:15:b2:ee,751_U4-07-100,RX_UCCS_D4B_SCAN70_v1
63932,ADV,-34,758,U4-07-100,e0:5a:1b:15:b2:ee,758_U4-07-100,RX_UCCS_D4B_SCAN70_v1
64342,ADV,-36,762,U4-07-100,e0:5a:1b:15:b2:ee,762_U4-07-100,RX_UCCS_D4B_SCAN70_v1
65136,ADV,-40,770,U4-07-500,e0:5a:1b:15:b2:ee,770_U4-07-500,RX_UCCS_D4B_SCAN70_v1
65741,ADV,-35,776,U4-00-100,e0:5a:1b:15:b2:ee,776_U4-00-100,RX_UCCS_D4B_SCAN70_v1
66163,ADV,-35,780,U4-00-100,e0:5a:1b:15:b2:ee,780_U4-00-100,RX_UCCS_D4B_SCAN70_v1
67013,ADV,-41,788,U4-00-100,e0:5a:1b:15:b2:ee,788_U4-00-100,RX_UCCS_D4B_SCAN70_v1
67634,ADV,-36,795,U4-00-100,e0:5a:1b:15:b2:ee,795_U4-00-100,RX_UCCS_D4B_SCAN70_v1
67954,ADV,-40,798,U4-07-100,e0:5a:1b:15:b2:ee,798_U4-07-100,RX_UCCS_D4B_SCAN70_v1
68594,ADV,-35,804,U4-07-100,e0:5a:1b:15:b2:ee,804_U4-07-100,RX_UCCS_D4B_SCAN70_v1
69129,ADV,-35,810,U4-07-100,e0:5a:1b:15:b2:ee,810_U4-07-100,RX_UCCS_D4B_SCAN70_v1
69761,ADV,-34,816,U4-07-100,e0:5a:1b:15:b2:ee,816_U4-07-100,RX_UCCS_D4B_SCAN70_v1
70169,ADV,-34,820,U4-07-100,e0:5a:1b:15:b2:ee,820_U4-07-100,RX_UCCS_D4B_SCAN70_v1
70711,ADV,-34,825,U4-07-100,e0:5a:1b:15:b2:ee,825_U4-07-100,RX_UCCS_D4B_SCAN70_v1
71215,ADV,-34,830,U4-07-100,e0:5a:1b:15:b2:ee,830_U4-07-100,RX_UCCS_D4B_SCAN70_v1
71853,ADV,-40,837,U4-07-100,e0:5a:1b:15:b2:ee,837_U4-07-100,RX_UCCS_D4B_SCAN70_v1
72182,ADV,-34,840,U4-07-100,e0:5a:1b:15:b2:ee,840_U4-07-100,RX_UCCS_D4B_SCAN70_v1
74042,ADV,-34,859,U4-04-100,e0:5a:1b:15:b2:ee,859_U4-04-100,RX_UCCS_D4B_SCAN70_v1
74352,ADV,-35,862,U4-04-100,e0:5a:1b:15:b2:ee,862_U4-04-100,RX_UCCS_D4B_SCAN70_v1
74980,ADV,-34,868,U4-04-100,e0:5a:1b:15:b2:ee,868_U4-04-100,RX_UCCS_D4B_SCAN70_v1
75494,ADV,-34,873,U4-04-100,e0:5a:1b:15:b2:ee,873_U4-04-100,RX_UCCS_D4B_SCAN70_v1
76143,ADV,-40,880,U4-04-100,e0:5a:1b:15:b2:ee,880_U4-04-100,RX_UCCS_D4B_SCAN70_v1
76449,ADV,-34,883,U4-04-100,e0:5a:1b:15:b2:ee,883_U4-04-100,RX_UCCS_D4B_SCAN70_v1
