ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D4B_SCAN70, cond_id=4, cond_id_raw=4, tag=s4_ablation_ccs_off, subject=uccs_d4b_scan70
# meta, ablation=ccs_off policy=U_only actions{100,500} u_mid=0.20 u_high=0.35 hyst=0.02 ema_alpha=0.20
11,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
20,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
30,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
40,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
50,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
60,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
70,4764,141900,676.0,TXSD_UCCS_D4B_SCAN70_v1
80,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
90,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
100,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
110,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
120,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
130,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
140,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
150,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
160,4928,55600,274.0,TXSD_UCCS_D4B_SCAN70_v1
170,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
180,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
190,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
200,4928,55600,274.0,TXSD_UCCS_D4B_SCAN70_v1
210,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
220,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
230,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
240,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
250,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
260,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
270,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
280,4660,133400,621.6,TXSD_UCCS_D4B_SCAN70_v1
290,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
300,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
310,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
320,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
330,4928,56000,276.0,TXSD_UCCS_D4B_SCAN70_v1
340,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
350,4928,55600,274.0,TXSD_UCCS_D4B_SCAN70_v1
360,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
370,4928,55600,274.0,TXSD_UCCS_D4B_SCAN70_v1
380,4780,201500,963.2,TXSD_UCCS_D4B_SCAN70_v1
390,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
400,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
410,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
420,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
430,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
440,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
450,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
460,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
470,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
480,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
490,4652,129500,602.4,TXSD_UCCS_D4B_SCAN70_v1
500,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
510,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
520,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
530,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
540,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
550,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
560,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
570,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
580,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
590,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
600,4788,207100,991.6,TXSD_UCCS_D4B_SCAN70_v1
610,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
620,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
630,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
640,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
650,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
660,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
670,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
680,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
690,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
700,4776,144500,690.1,TXSD_UCCS_D4B_SCAN70_v1
710,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
720,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
730,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
740,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
750,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
760,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
770,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
780,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
790,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
800,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
810,4656,133100,619.7,TXSD_UCCS_D4B_SCAN70_v1
820,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
830,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
840,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
850,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
860,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
870,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
880,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
890,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
900,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
911,4752,141300,671.5,TXSD_UCCS_D4B_SCAN70_v1
920,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
930,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
940,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
950,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
960,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
970,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
980,4928,55600,274.0,TXSD_UCCS_D4B_SCAN70_v1
990,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
1000,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
1010,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
1020,4776,140500,671.0,TXSD_UCCS_D4B_SCAN70_v1
1030,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
1040,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
1050,4928,56000,276.0,TXSD_UCCS_D4B_SCAN70_v1
1060,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
1070,4928,55900,275.5,TXSD_UCCS_D4B_SCAN70_v1
1080,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
1090,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
1100,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
1110,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
1120,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
1130,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
1140,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
1150,4928,55600,274.0,TXSD_UCCS_D4B_SCAN70_v1
1160,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
1170,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
1180,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
1190,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
1200,4928,56000,276.0,TXSD_UCCS_D4B_SCAN70_v1
1210,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
1220,4928,58700,289.3,TXSD_UCCS_D4B_SCAN70_v1
1230,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
1240,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
1250,4932,56200,277.2,TXSD_UCCS_D4B_SCAN70_v1
1260,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
1270,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
1280,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
1290,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
