ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D4B_SCAN70, cond_id=1, cond_id_raw=1, tag=s4_fixed100, subject=uccs_d4b_scan70
11,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
21,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
31,4928,56000,276.0,TXSD_UCCS_D4B_SCAN70_v1
41,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
51,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
61,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
71,4928,59100,291.2,TXSD_UCCS_D4B_SCAN70_v1
81,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
91,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
101,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
111,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
121,4924,55800,274.8,TXSD_UCCS_D4B_SCAN70_v1
131,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
141,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
151,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
161,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
171,4920,56900,279.9,TXSD_UCCS_D4B_SCAN70_v1
181,4924,55800,274.8,TXSD_UCCS_D4B_SCAN70_v1
191,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
201,4924,55800,274.8,TXSD_UCCS_D4B_SCAN70_v1
211,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
221,4924,56400,277.7,TXSD_UCCS_D4B_SCAN70_v1
231,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
241,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
251,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
261,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
271,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
281,4656,139600,650.0,TXSD_UCCS_D4B_SCAN70_v1
291,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
301,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
311,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
321,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
331,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
341,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
351,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
361,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
371,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
381,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
391,4820,55800,269.0,TXSD_UCCS_D4B_SCAN70_v1
401,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
411,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
421,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
431,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
441,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
451,4928,56500,278.4,TXSD_UCCS_D4B_SCAN70_v1
461,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
471,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
481,4924,55800,274.8,TXSD_UCCS_D4B_SCAN70_v1
491,4928,59500,293.2,TXSD_UCCS_D4B_SCAN70_v1
501,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
511,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
521,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
531,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
541,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
551,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
