rx_trial_id,condition,repeat_idx,mode,rx_count,rx_unique,adv_count,pdr_unique,rx_tag_share100_time_est,tl_mean_s,tl_p95_s,pout_1s,pout_2s,pout_3s,tl_time_offset_ms,tl_time_offset_n,txsd_ms_total,E_total_mJ,avg_power_mW,txsd_path,rx_path
14,S4_fixed100,1,FIXED_100,599,599,1800,0.332778,1.0,0.774805,8.844,0.04878,0.04878,0.04878,-246.0,599,180317.0,37114.031,205.82657763827038,uccs_d4b_scan70/data/01/TX/trial_001_c1_s4_fixed100.csv,uccs_d4b_scan70/data/01/RX/rx_trial_014.csv
15,S4_fixed500,1,FIXED_500,218,218,360,0.605556,0.0,1.80905,15.6735,0.195122,0.121951,0.121951,-233.0,218,180314.0,33751.686,187.1828366072518,uccs_d4b_scan70/data/01/TX/trial_001_c2_s4_fixed500.csv,uccs_d4b_scan70/data/01/RX/rx_trial_015.csv
16,S4_policy,1,POLICY,489,489,1323,0.369615,0.528662,0.388439,0.3473,0.02439,0.02439,0.02439,-213.0,489,180314.0,36181.476,200.65816298235302,uccs_d4b_scan70/data/01/TX/trial_002_c3_s4_policy.csv,uccs_d4b_scan70/data/01/RX/rx_trial_016.csv
17,S4_ablation_ccs_off,1,U_ONLY,467,467,1323,0.352986,0.535666,0.146561,0.2748,0.0,0.0,0.0,-210.0,467,180285.0,36512.747,202.52792522949775,uccs_d4b_scan70/data/01/TX/trial_003_c4_s4_ablation_ccs_off.csv,uccs_d4b_scan70/data/01/RX/rx_trial_017.csv
18,S4_fixed100,2,FIXED_100,603,603,1800,0.335,1.0,0.365561,0.3836,0.02439,0.02439,0.02439,-202.0,603,180293.0,37251.908,206.61871509154543,uccs_d4b_scan70/data/01/TX/trial_003_c1_s4_fixed100.csv,uccs_d4b_scan70/data/01/RX/rx_trial_018.csv
19,S4_fixed500,2,FIXED_500,218,218,360,0.605556,0.0,0.856132,4.4557,0.268293,0.121951,0.121951,-187.5,218,180292.0,33880.399,187.91959155148314,uccs_d4b_scan70/data/01/TX/trial_003_c2_s4_fixed500.csv,uccs_d4b_scan70/data/01/RX/rx_trial_019.csv
20,S4_policy,2,POLICY,494,493,1323,0.372638,0.489796,0.136,0.2809,0.0,0.0,0.0,-165.0,493,180300.0,36509.82,202.49484193011645,uccs_d4b_scan70/data/01/TX/trial_003_c3_s4_policy.csv,uccs_d4b_scan70/data/01/RX/rx_trial_020.csv
21,S4_ablation_ccs_off,2,U_ONLY,473,473,1323,0.357521,0.531044,0.17361,0.3831,0.0,0.0,0.0,-150.0,473,180252.0,36213.917,200.90715775691808,uccs_d4b_scan70/data/01/TX/trial_005_c4_s4_ablation_ccs_off.csv,uccs_d4b_scan70/data/01/RX/rx_trial_021.csv
22,S4_fixed100,3,FIXED_100,596,596,1800,0.331111,1.0,0.152573,0.3038,0.0,0.0,0.0,-139.5,596,180266.0,37250.81,206.64357116705312,uccs_d4b_scan70/data/01/TX/trial_005_c1_s4_fixed100.csv,uccs_d4b_scan70/data/01/RX/rx_trial_022.csv
23,S4_fixed500,3,FIXED_500,226,226,360,0.627778,0.0,1.66245,16.5344,0.219512,0.097561,0.097561,-124.5,226,180273.0,33818.027,187.59341110426965,uccs_d4b_scan70/data/01/TX/trial_005_c2_s4_fixed500.csv,uccs_d4b_scan70/data/01/RX/rx_trial_023.csv
24,S4_policy,3,POLICY,476,476,1323,0.359788,0.52474,0.37861,0.5466,0.02439,0.02439,0.02439,-104.0,476,180241.0,36226.564,200.9895861651899,uccs_d4b_scan70/data/01/TX/trial_007_c3_s4_policy.csv,uccs_d4b_scan70/data/01/RX/rx_trial_024.csv
25,S4_ablation_ccs_off,3,U_ONLY,470,470,1323,0.355253,0.533333,0.390683,0.3689,0.02439,0.02439,0.02439,-87.0,470,180227.0,36627.827,203.23163011091566,uccs_d4b_scan70/data/01/TX/trial_006_c4_s4_ablation_ccs_off.csv,uccs_d4b_scan70/data/01/RX/rx_trial_025.csv
