u_mid,u_high,share100_time,adv_count_est,switch_count,alpha_est,avg_power_est_mW,alpha_err
0.18,0.32,0.679444,1340,33,0.679444,200.337,0.055528
0.18,0.33,0.679444,1340,33,0.679444,200.337,0.055528
0.18,0.34,0.679444,1340,33,0.679444,200.337,0.055528
0.18,0.35,0.678333,1339,33,0.678333,200.316,0.056639
0.18,0.36,0.677222,1337,33,0.677222,200.295,0.05775
0.18,0.37,0.674444,1333,33,0.674444,200.243,0.060528
0.18,0.38,0.671667,1328,33,0.671667,200.191,0.063305
0.18,0.39,0.671111,1328,33,0.671111,200.181,0.063861
0.18,0.4,0.671111,1328,33,0.671111,200.181,0.063861
0.18,0.41,0.671111,1328,33,0.671111,200.181,0.063861
0.18,0.42,0.670556,1327,33,0.670556,200.17,0.064416
0.18,0.43,0.67,1326,33,0.67,200.16,0.064972
0.18,0.44,0.67,1326,33,0.67,200.16,0.064972
0.18,0.45,0.67,1326,33,0.67,200.16,0.064972
0.18,0.46,0.67,1326,33,0.67,200.16,0.064972
0.18,0.47,0.667778,1322,33,0.667778,200.118,0.067194
0.18,0.48,0.665556,1319,33,0.665556,200.076,0.069416
0.18,0.49,0.663889,1318,33,0.663889,200.045,0.071083
0.18,0.5,0.662222,1317,33,0.662222,200.013,0.07275
0.18,0.51,0.662222,1317,33,0.662222,200.013,0.07275
0.18,0.52,0.661111,1316,33,0.661111,199.993,0.073861
0.18,0.53,0.661111,1316,33,0.661111,199.993,0.073861
0.18,0.54,0.660556,1315,33,0.660556,199.982,0.074416
0.18,0.55,0.659444,1313,33,0.659444,199.961,0.075528
0.19,0.32,0.673889,1332,33,0.673889,200.233,0.061083
0.19,0.33,0.673889,1332,33,0.673889,200.233,0.061083
0.19,0.34,0.673889,1332,33,0.673889,200.233,0.061083
0.19,0.35,0.672778,1331,33,0.672778,200.212,0.062194
0.19,0.36,0.671667,1329,33,0.671667,200.191,0.063305
0.19,0.37,0.668889,1325,33,0.668889,200.139,0.066083
0.19,0.38,0.666111,1320,33,0.666111,200.087,0.068861
0.19,0.39,0.665556,1320,33,0.665556,200.076,0.069416
0.19,0.4,0.665556,1320,33,0.665556,200.076,0.069416
0.19,0.41,0.665556,1320,33,0.665556,200.076,0.069416
0.19,0.42,0.665,1319,33,0.665,200.066,0.069972
0.19,0.43,0.664444,1318,33,0.664444,200.055,0.070528
0.19,0.44,0.664444,1318,33,0.664444,200.055,0.070528
0.19,0.45,0.664444,1318,33,0.664444,200.055,0.070528
0.19,0.46,0.664444,1318,33,0.664444,200.055,0.070528
0.19,0.47,0.662222,1314,33,0.662222,200.013,0.07275
0.19,0.48,0.66,1311,33,0.66,199.972,0.074972
0.19,0.49,0.658333,1310,33,0.658333,199.94,0.076639
0.19,0.5,0.656667,1309,33,0.656667,199.909,0.078305
0.19,0.51,0.656667,1309,33,0.656667,199.909,0.078305
0.19,0.52,0.655556,1308,33,0.655556,199.888,0.079416
0.19,0.53,0.655556,1308,33,0.655556,199.888,0.079416
0.19,0.54,0.655,1307,33,0.655,199.878,0.079972
0.19,0.55,0.653889,1305,33,0.653889,199.857,0.081083
0.2,0.32,0.668889,1324,33,0.668889,200.139,0.066083
0.2,0.33,0.668889,1324,33,0.668889,200.139,0.066083
0.2,0.34,0.668889,1324,33,0.668889,200.139,0.066083
0.2,0.35,0.667778,1323,33,0.667778,200.118,0.067194
0.2,0.36,0.666667,1321,33,0.666667,200.097,0.068305
0.2,0.37,0.663889,1317,33,0.663889,200.045,0.071083
0.2,0.38,0.661111,1312,33,0.661111,199.993,0.073861
0.2,0.39,0.660556,1312,33,0.660556,199.982,0.074416
0.2,0.4,0.660556,1312,33,0.660556,199.982,0.074416
0.2,0.41,0.660556,1312,33,0.660556,199.982,0.074416
0.2,0.42,0.66,1311,33,0.66,199.972,0.074972
0.2,0.43,0.659444,1310,33,0.659444,199.961,0.075528
0.2,0.44,0.659444,1310,33,0.659444,199.961,0.075528
0.2,0.45,0.659444,1310,33,0.659444,199.961,0.075528
0.2,0.46,0.659444,1310,33,0.659444,199.961,0.075528
0.2,0.47,0.657222,1306,33,0.657222,199.919,0.07775
0.2,0.48,0.655,1303,33,0.655,199.878,0.079972
0.2,0.49,0.653333,1302,33,0.653333,199.846,0.081639
0.2,0.5,0.651667,1301,33,0.651667,199.815,0.083305
0.2,0.51,0.651667,1301,33,0.651667,199.815,0.083305
0.2,0.52,0.650556,1300,33,0.650556,199.794,0.084416
0.2,0.53,0.650556,1300,33,0.650556,199.794,0.084416
0.2,0.54,0.65,1299,33,0.65,199.784,0.084972
0.2,0.55,0.648889,1297,33,0.648889,199.763,0.086083
0.21,0.32,0.666111,1321,33,0.666111,200.087,0.068861
0.21,0.33,0.666111,1321,33,0.666111,200.087,0.068861
0.21,0.34,0.666111,1321,33,0.666111,200.087,0.068861
0.21,0.35,0.665,1320,33,0.665,200.066,0.069972
0.21,0.36,0.663889,1318,33,0.663889,200.045,0.071083
0.21,0.37,0.661111,1314,33,0.661111,199.993,0.073861
0.21,0.38,0.658333,1309,33,0.658333,199.94,0.076639
0.21,0.39,0.657778,1309,33,0.657778,199.93,0.077194
0.21,0.4,0.657778,1309,33,0.657778,199.93,0.077194
0.21,0.41,0.657778,1309,33,0.657778,199.93,0.077194
0.21,0.42,0.657222,1308,33,0.657222,199.919,0.07775
0.21,0.43,0.656667,1307,33,0.656667,199.909,0.078305
0.21,0.44,0.656667,1307,33,0.656667,199.909,0.078305
0.21,0.45,0.656667,1307,33,0.656667,199.909,0.078305
0.21,0.46,0.656667,1307,33,0.656667,199.909,0.078305
0.21,0.47,0.654444,1303,33,0.654444,199.867,0.080528
0.21,0.48,0.652222,1300,33,0.652222,199.825,0.08275
0.21,0.49,0.650556,1299,33,0.650556,199.794,0.084416
0.21,0.5,0.648889,1298,33,0.648889,199.763,0.086083
0.21,0.51,0.648889,1298,33,0.648889,199.763,0.086083
