rx_trial_id,condition,repeat_idx,mode,rx_count,rx_unique,adv_count,pdr_unique,rx_tag_share100_time_est,tl_mean_s,tl_p95_s,pout_1s,pout_2s,pout_3s,tl_time_offset_ms,tl_time_offset_n,txsd_ms_total,E_total_mJ,avg_power_mW,txsd_path,rx_path
188,S4_fixed100,1,FIXED_100,259,259,1761,0.147076,1.0,3.181049,24.2569,0.073171,0.073171,0.073171,9877.0,259,176163.0,55184.333,313.25722768118163,uccs_d4b_scan70\data\02_n10_run01\TX\trial_039_c1_s4_fixed100.csv,uccs_d4b_scan70\data\02_n10_run01\RX\rx_trial_188.csv
189,S4_fixed500,1,FIXED_500,161,161,351,0.458689,0.0,4.422333,24.711,0.414634,0.170732,0.170732,9986.0,161,175610.0,52818.222,300.770013097204,uccs_d4b_scan70\data\02_n10_run01\TX\trial_062_c2_s4_fixed500.csv,uccs_d4b_scan70\data\02_n10_run01\RX\rx_trial_189.csv
190,S4_policy,1,POLICY,285,285,1280,0.222656,0.389587,3.400475,24.5247,0.121951,0.121951,0.121951,10084.0,285,175622.0,54318.305,309.2910056826593,uccs_d4b_scan70\data\02_n10_run01\TX\trial_062_c3_s4_policy.csv,uccs_d4b_scan70\data\02_n10_run01\RX\rx_trial_190.csv
191,S4_ablation_ccs_off,1,U_ONLY,276,276,1286,0.214619,0.403409,3.21165,24.6303,0.097561,0.097561,0.097561,10188.0,276,176209.0,54665.612,310.23166807597795,uccs_d4b_scan70\data\02_n10_run01\TX\trial_039_c4_s4_ablation_ccs_off.csv,uccs_d4b_scan70\data\02_n10_run01\RX\rx_trial_191.csv
192,S4_fixed100,2,FIXED_100,329,329,1760,0.186932,1.0,3.23425,24.5617,0.097561,0.097561,0.097561,10250.0,329,176024.0,54774.874,311.1784415761487,uccs_d4b_scan70\data\02_n10_run01\TX\trial_040_c1_s4_fixed100.csv,uccs_d4b_scan70\data\02_n10_run01\RX\rx_trial_192.csv
193,S4_fixed500,2,FIXED_500,202,202,350,0.577143,0.0,4.70425,28.4647,0.390244,0.195122,0.170732,10355.0,202,175467.0,49915.09,284.4699573139108,uccs_d4b_scan70\data\02_n10_run01\TX\trial_063_c2_s4_fixed500.csv,uccs_d4b_scan70\data\02_n10_run01\RX\rx_trial_193.csv
194,S4_policy,2,POLICY,292,292,1278,0.228482,0.406475,3.80861,24.3604,0.146341,0.121951,0.121951,10459.0,292,175461.0,53453.694,304.6471523586438,uccs_d4b_scan70\data\02_n10_run01\TX\trial_063_c3_s4_policy.csv,uccs_d4b_scan70\data\02_n10_run01\RX\rx_trial_194.csv
195,S4_ablation_ccs_off,2,U_ONLY,281,281,1284,0.218847,0.409006,3.386171,24.0784,0.121951,0.097561,0.097561,10559.0,281,176049.0,54656.352,310.46101937528755,uccs_d4b_scan70\data\02_n10_run01\TX\trial_040_c4_s4_ablation_ccs_off.csv,uccs_d4b_scan70\data\02_n10_run01\RX\rx_trial_195.csv
196,S4_fixed100,3,FIXED_100,288,288,1758,0.163823,1.0,3.945675,24.9884,0.170732,0.146341,0.146341,10660.0,288,175888.0,55004.184,312.72277813153823,uccs_d4b_scan70\data\02_n10_run01\TX\trial_041_c1_s4_fixed100.csv,uccs_d4b_scan70\data\02_n10_run01\RX\rx_trial_196.csv
197,S4_fixed500,3,FIXED_500,151,151,350,0.431429,0.0,5.189132,56.1002,0.268293,0.195122,0.195122,10759.0,151,175335.0,49846.873,284.2950523283999,uccs_d4b_scan70\data\02_n10_run01\TX\trial_064_c2_s4_fixed500.csv,uccs_d4b_scan70\data\02_n10_run01\RX\rx_trial_197.csv
198,S4_policy,3,POLICY,270,270,1277,0.211433,0.386792,3.690475,24.56075,0.146341,0.121951,0.121951,10880.0,270,175333.0,53208.596,303.471656790222,uccs_d4b_scan70\data\02_n10_run01\TX\trial_064_c3_s4_policy.csv,uccs_d4b_scan70\data\02_n10_run01\RX\rx_trial_198.csv
199,S4_ablation_ccs_off,3,U_ONLY,275,275,1283,0.214341,0.387755,3.091488,24.0639,0.097561,0.073171,0.073171,10982.0,275,175913.0,53218.898,302.5296481783609,uccs_d4b_scan70\data\02_n10_run01\TX\trial_041_c4_s4_ablation_ccs_off.csv,uccs_d4b_scan70\data\02_n10_run01\RX\rx_trial_199.csv
200,S4_fixed100,4,FIXED_100,302,302,1757,0.171884,1.0,3.7646,24.81715,0.146341,0.121951,0.121951,11079.0,302,175729.0,56377.879,320.8228522326992,uccs_d4b_scan70\data\02_n10_run01\TX\trial_042_c1_s4_fixed100.csv,uccs_d4b_scan70\data\02_n10_run01\RX\rx_trial_200.csv
201,S4_fixed500,4,FIXED_500,176,176,350,0.502857,0.0,4.307475,24.58795,0.317073,0.170732,0.170732,11184.5,176,175198.0,50429.879,287.84506101667824,uccs_d4b_scan70\data\02_n10_run01\TX\trial_065_c2_s4_fixed500.csv,uccs_d4b_scan70\data\02_n10_run01\RX\rx_trial_201.csv
202,S4_policy,4,POLICY,214,214,1275,0.167843,0.408867,4.467463,26.7922,0.146341,0.146341,0.146341,11296.0,214,175196.0,53803.112,307.10239959816437,uccs_d4b_scan70\data\02_n10_run01\TX\trial_065_c3_s4_policy.csv,uccs_d4b_scan70\data\02_n10_run01\RX\rx_trial_202.csv
