rx_file,mode,transition_step,label_prev,label_cur,tl_s,outage_gt_tau,arrival_step,offset_ms
rx_trial_004.csv,P,13,1,0,0.04,0,13,-346.0
rx_trial_004.csv,P,88,0,6,0.178,0,90,-346.0
rx_trial_004.csv,P,91,6,7,0.206,0,93,-346.0
rx_trial_004.csv,P,97,7,11,0.116,0,98,-346.0
rx_trial_004.csv,P,120,11,10,0.025,0,120,-346.0
rx_trial_004.csv,P,245,10,6,0.28,0,248,-346.0
rx_trial_004.csv,P,338,6,7,0.175,0,340,-346.0
rx_trial_004.csv,P,362,7,11,0.281,0,365,-346.0
rx_trial_004.csv,P,376,11,4,0.143,0,377,-346.0
rx_trial_004.csv,P,429,4,10,0.187,0,431,-346.0
rx_trial_004.csv,P,605,10,3,0.015,0,605,-346.0
rx_trial_004.csv,P,615,3,7,0.138,0,616,-346.0
rx_trial_004.csv,P,642,7,3,0.29,0,645,-346.0
rx_trial_004.csv,P,680,3,9,0.035,0,680,-346.0
rx_trial_004.csv,P,714,9,8,0.62,0,720,-346.0
rx_trial_004.csv,P,724,8,7,0.145,0,725,-346.0
rx_trial_004.csv,P,775,7,0,0.274,0,778,-346.0
rx_trial_004.csv,P,796,0,7,0.273,0,799,-346.0
rx_trial_004.csv,P,858,7,4,0.173,0,860,-346.0
rx_trial_004.csv,P,963,4,6,0.072,0,964,-346.0
rx_trial_004.csv,P,1035,6,5,0.18,0,1037,-346.0
rx_trial_004.csv,P,1055,5,9,0.279,0,1058,-346.0
rx_trial_004.csv,P,1087,9,2,0.125,0,1088,-346.0
rx_trial_004.csv,P,1128,2,9,0.022,0,1128,-346.0
rx_trial_004.csv,P,1130,9,4,0.026,0,1130,-346.0
rx_trial_004.csv,P,1224,4,9,0.174,0,1226,-346.0
rx_trial_004.csv,P,1282,9,0,0.181,0,1284,-346.0
rx_trial_004.csv,P,1299,0,9,0.078,0,1300,-346.0
rx_trial_004.csv,P,1404,9,7,0.073,0,1405,-346.0
rx_trial_004.csv,P,1410,7,2,0.011,0,1410,-346.0
rx_trial_004.csv,P,1414,2,8,0.244,0,1416,-346.0
rx_trial_004.csv,P,1458,8,6,0.022,0,1458,-346.0
rx_trial_004.csv,P,1523,6,11,0.071,0,1524,-346.0
rx_trial_004.csv,P,1581,11,5,0.182,0,1583,-346.0
rx_trial_004.csv,P,1603,5,1,0.209,0,1605,-346.0
rx_trial_004.csv,P,1614,1,2,0.254,0,1616,-346.0
rx_trial_004.csv,P,1627,2,8,0.196,0,1629,-346.0
rx_trial_004.csv,P,1678,8,1,0.073,0,1679,-346.0
rx_trial_004.csv,P,1697,1,2,0.268,0,1700,-346.0
rx_trial_004.csv,P,1701,2,1,0.188,0,1703,-346.0
rx_trial_004.csv,P,1766,1,3,0.178,0,1768,-346.0
rx_trial_005.csv,U,13,1,0,0.1135,0,14,-324.5
rx_trial_005.csv,U,88,0,6,0.0685,0,89,-324.5
rx_trial_005.csv,U,91,6,7,0.2975,0,94,-324.5
rx_trial_005.csv,U,97,7,11,0.0085,0,97,-324.5
rx_trial_005.csv,U,120,11,10,0.1395,0,121,-324.5
rx_trial_005.csv,U,245,10,6,0.0665,0,246,-324.5
rx_trial_005.csv,U,338,6,7,0.0695,0,339,-324.5
rx_trial_005.csv,U,362,7,11,0.1005,0,363,-324.5
rx_trial_005.csv,U,376,11,4,0.3885,0,380,-324.5
rx_trial_005.csv,U,429,4,10,0.2905,0,432,-324.5
rx_trial_005.csv,U,605,10,3,0.0745,0,606,-324.5
rx_trial_005.csv,U,615,3,7,0.2295,0,617,-324.5
rx_trial_005.csv,U,642,7,3,0.0605,0,642,-324.5
rx_trial_005.csv,U,680,3,9,0.1355,0,681,-324.5
rx_trial_005.csv,U,714,9,8,0.0785,0,715,-324.5
