rx_file,mode,transition_step,label_prev,label_cur,tl_s,outage_gt_tau,arrival_step,offset_ms
rx_trial_016.csv,P,13,1,0,0.237,0,15,-213.0
rx_trial_016.csv,P,88,0,6,0.074,0,89,-213.0
rx_trial_016.csv,P,91,6,7,0.189,0,93,-213.0
rx_trial_016.csv,P,97,7,11,0.229,0,99,-213.0
rx_trial_016.csv,P,120,11,10,0.127,0,121,-213.0
rx_trial_016.csv,P,245,10,6,0.069,0,246,-213.0
rx_trial_016.csv,P,338,6,7,0.283,0,341,-213.0
rx_trial_016.csv,P,362,7,11,0.256,0,365,-213.0
rx_trial_016.csv,P,376,11,4,0.011,0,376,-213.0
rx_trial_016.csv,P,429,4,10,0.091,0,430,-213.0
rx_trial_016.csv,P,605,10,3,0.068,0,606,-213.0
rx_trial_016.csv,P,615,3,7,0.105,0,616,-213.0
rx_trial_016.csv,P,642,7,3,0.199,0,644,-213.0
rx_trial_016.csv,P,680,3,9,0.093,0,681,-213.0
rx_trial_016.csv,P,714,9,8,0.275,0,717,-213.0
rx_trial_016.csv,P,724,8,7,0.207,0,726,-213.0
rx_trial_016.csv,P,775,7,0,0.071,0,776,-213.0
rx_trial_016.csv,P,796,0,7,0.068,0,797,-213.0
rx_trial_016.csv,P,858,7,4,0.28,0,861,-213.0
rx_trial_016.csv,P,963,4,6,0.182,0,965,-213.0
rx_trial_016.csv,P,1035,6,5,0.179,0,1037,-213.0
rx_trial_016.csv,P,1055,5,9,0.098,0,1056,-213.0
rx_trial_016.csv,P,1087,9,2,0.238,0,1089,-213.0
rx_trial_016.csv,P,1128,2,9,9.67,1,1225,-213.0
rx_trial_016.csv,P,1130,9,4,0.276,0,1133,-213.0
rx_trial_016.csv,P,1224,4,9,0.07,0,1225,-213.0
rx_trial_016.csv,P,1282,9,0,0.072,0,1283,-213.0
rx_trial_016.csv,P,1299,0,9,0.159,0,1301,-213.0
rx_trial_016.csv,P,1404,9,7,0.177,0,1406,-213.0
rx_trial_016.csv,P,1410,7,2,0.1,0,1411,-213.0
rx_trial_016.csv,P,1414,2,8,0.013,0,1414,-213.0
rx_trial_016.csv,P,1458,8,6,0.354,0,1462,-213.0
rx_trial_016.csv,P,1523,6,11,0.175,0,1525,-213.0
rx_trial_016.csv,P,1581,11,5,0.068,0,1582,-213.0
rx_trial_016.csv,P,1603,5,1,0.168,0,1605,-213.0
rx_trial_016.csv,P,1614,1,2,0.018,0,1614,-213.0
rx_trial_016.csv,P,1627,2,8,0.194,0,1629,-213.0
