ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_UCCS_D4B_SCAN90, buf_size=512
# meta, scan_interval_ms=100.0, scan_window_ms=90.0
# condition_label=P4-03-100
196,ADV,-32,1799,P4-03-100,e0:5a:1b:15:c4:ca,1799_P4-03-100
699,ADV,-32,5,U4-01-500,e0:5a:1b:15:c4:ca,5_U4-01-500
1201,ADV,-32,10,U4-01-500,e0:5a:1b:15:c4:ca,10_U4-01-500
1698,ADV,-32,15,U4-00-100,e0:5a:1b:15:c4:ca,15_U4-00-100
2030,ADV,-31,18,U4-00-100,e0:5a:1b:15:c4:ca,18_U4-00-100
2333,ADV,-42,21,U4-00-100,e0:5a:1b:15:c4:ca,21_U4-00-100
2761,ADV,-42,25,U4-00-100,e0:5a:1b:15:c4:ca,25_U4-00-100
3075,ADV,-31,28,U4-00-100,e0:5a:1b:15:c4:ca,28_U4-00-100
3285,ADV,-41,30,U4-00-100,e0:5a:1b:15:c4:ca,30_U4-00-100
3484,ADV,-30,32,U4-00-100,e0:5a:1b:15:c4:ca,32_U4-00-100
3801,ADV,-41,35,U4-00-100,e0:5a:1b:15:c4:ca,35_U4-00-100
4011,ADV,-32,38,U4-00-100,e0:5a:1b:15:c4:ca,38_U4-00-100
4231,ADV,-41,40,U4-00-100,e0:5a:1b:15:c4:ca,40_U4-00-100
4435,ADV,-31,42,U4-00-100,e0:5a:1b:15:c4:ca,42_U4-00-100
4650,ADV,-41,44,U4-00-100,e0:5a:1b:15:c4:ca,44_U4-00-100
4854,ADV,-31,46,U4-00-100,e0:5a:1b:15:c4:ca,46_U4-00-100
5058,ADV,-31,48,U4-00-100,e0:5a:1b:15:c4:ca,48_U4-00-100
5380,ADV,-29,51,U4-00-100,e0:5a:1b:15:c4:ca,51_U4-00-100
5689,ADV,-42,54,U4-00-100,e0:5a:1b:15:c4:ca,54_U4-00-100
5893,ADV,-31,56,U4-00-100,e0:5a:1b:15:c4:ca,56_U4-00-100
6041,ADV,-32,58,U4-00-500,e0:5a:1b:15:c4:ca,58_U4-00-500
7066,ADV,-43,68,U4-00-500,e0:5a:1b:15:c4:ca,68_U4-00-500
7584,ADV,-43,73,U4-00-500,e0:5a:1b:15:c4:ca,73_U4-00-500
8080,ADV,-43,78,U4-00-500,e0:5a:1b:15:c4:ca,78_U4-00-500
8589,ADV,-43,83,U4-00-500,e0:5a:1b:15:c4:ca,83_U4-00-500
9104,ADV,-42,88,U4-06-500,e0:5a:1b:15:c4:ca,88_U4-06-500
9554,ADV,-42,93,U4-07-100,e0:5a:1b:15:c4:ca,93_U4-07-100
9856,ADV,-33,96,U4-07-100,e0:5a:1b:15:c4:ca,96_U4-07-100
10177,ADV,-30,99,U4-11-100,e0:5a:1b:15:c4:ca,99_U4-11-100
10494,ADV,-43,102,U4-11-100,e0:5a:1b:15:c4:ca,102_U4-11-100
10815,ADV,-33,105,U4-11-100,e0:5a:1b:15:c4:ca,105_U4-11-100
11129,ADV,-30,108,U4-11-100,e0:5a:1b:15:c4:ca,108_U4-11-100
11343,ADV,-33,110,U4-11-100,e0:5a:1b:15:c4:ca,110_U4-11-100
11545,ADV,-31,112,U4-11-100,e0:5a:1b:15:c4:ca,112_U4-11-100
11873,ADV,-41,116,U4-11-100,e0:5a:1b:15:c4:ca,116_U4-11-100
12174,ADV,-32,119,U4-11-100,e0:5a:1b:15:c4:ca,119_U4-11-100
12383,ADV,-42,121,U4-10-100,e0:5a:1b:15:c4:ca,121_U4-10-100
12704,ADV,-32,124,U4-10-100,e0:5a:1b:15:c4:ca,124_U4-10-100
13018,ADV,-29,127,U4-10-100,e0:5a:1b:15:c4:ca,127_U4-10-100
13239,ADV,-32,129,U4-10-100,e0:5a:1b:15:c4:ca,129_U4-10-100
13548,ADV,-29,132,U4-10-100,e0:5a:1b:15:c4:ca,132_U4-10-100
13769,ADV,-43,134,U4-10-100,e0:5a:1b:15:c4:ca,134_U4-10-100
14083,ADV,-32,137,U4-10-100,e0:5a:1b:15:c4:ca,137_U4-10-100
14311,ADV,-45,140,U4-10-100,e0:5a:1b:15:c4:ca,140_U4-10-100
14509,ADV,-30,142,U4-10-100,e0:5a:1b:15:c4:ca,142_U4-10-100
14737,ADV,-43,144,U4-10-100,e0:5a:1b:15:c4:ca,144_U4-10-100
14930,ADV,-31,146,U4-10-100,e0:5a:1b:15:c4:ca,146_U4-10-100
15243,ADV,-42,149,U4-10-100,e0:5a:1b:15:c4:ca,149_U4-10-100
15451,ADV,-31,151,U4-10-100,e0:5a:1b:15:c4:ca,151_U4-10-100
15772,ADV,-42,154,U4-10-100,e0:5a:1b:15:c4:ca,154_U4-10-100
16081,ADV,-32,157,U4-10-100,e0:5a:1b:15:c4:ca,157_U4-10-100
16390,ADV,-31,160,U4-10-100,e0:5a:1b:15:c4:ca,160_U4-10-100
16604,ADV,-32,162,U4-10-100,e0:5a:1b:15:c4:ca,162_U4-10-100
16808,ADV,-31,164,U4-10-100,e0:5a:1b:15:c4:ca,164_U4-10-100
17937,ADV,-31,176,U4-10-500,e0:5a:1b:15:c4:ca,176_U4-10-500
18446,ADV,-30,181,U4-10-500,e0:5a:1b:15:c4:ca,181_U4-10-500
18948,ADV,-31,186,U4-10-500,e0:5a:1b:15:c4:ca,186_U4-10-500
19464,ADV,-31,191,U4-10-500,e0:5a:1b:15:c4:ca,191_U4-10-500
19968,ADV,-31,196,U4-10-500,e0:5a:1b:15:c4:ca,196_U4-10-500
20979,ADV,-41,206,U4-10-500,e0:5a:1b:15:c4:ca,206_U4-10-500
21486,ADV,-41,211,U4-10-500,e0:5a:1b:15:c4:ca,211_U4-10-500
21997,ADV,-40,216,U4-10-500,e0:5a:1b:15:c4:ca,216_U4-10-500
23007,ADV,-41,226,U4-10-500,e0:5a:1b:15:c4:ca,226_U4-10-500
24021,ADV,-29,236,U4-10-500,e0:5a:1b:15:c4:ca,236_U4-10-500
25023,ADV,-29,246,U4-06-500,e0:5a:1b:15:c4:ca,246_U4-06-500
25545,ADV,-29,252,U4-06-100,e0:5a:1b:15:c4:ca,252_U4-06-100
25861,ADV,-42,255,U4-06-100,e0:5a:1b:15:c4:ca,255_U4-06-100
26183,ADV,-31,258,U4-06-100,e0:5a:1b:15:c4:ca,258_U4-06-100
26378,ADV,-38,260,U4-06-100,e0:5a:1b:15:c4:ca,260_U4-06-100
26582,ADV,-32,262,U4-06-100,e0:5a:1b:15:c4:ca,262_U4-06-100
26794,ADV,-40,264,U4-06-100,e0:5a:1b:15:c4:ca,264_U4-06-100
26999,ADV,-31,266,U4-06-100,e0:5a:1b:15:c4:ca,266_U4-06-100
27217,ADV,-40,268,U4-06-100,e0:5a:1b:15:c4:ca,268_U4-06-100
27551,ADV,-32,271,U4-06-100,e0:5a:1b:15:c4:ca,271_U4-06-100
27749,ADV,-94,273,U4-06-100,e0:5a:1b:15:c4:ca,273_U4-06-100
27966,ADV,-30,276,U4-06-100,e0:5a:1b:15:c4:ca,276_U4-06-100
28266,ADV,-40,279,U4-06-100,e0:5a:1b:15:c4:ca,279_U4-06-100
28593,ADV,-30,282,U4-06-100,e0:5a:1b:15:c4:ca,282_U4-06-100
28891,ADV,-31,285,U4-06-100,e0:5a:1b:15:c4:ca,285_U4-06-100
29099,ADV,-31,287,U4-06-100,e0:5a:1b:15:c4:ca,287_U4-06-100
29420,ADV,-29,290,U4-06-100,e0:5a:1b:15:c4:ca,290_U4-06-100
29978,ADV,-31,296,U4-06-500,e0:5a:1b:15:c4:ca,296_U4-06-500
30484,ADV,-32,301,U4-06-500,e0:5a:1b:15:c4:ca,301_U4-06-500
30988,ADV,-30,306,U4-06-500,e0:5a:1b:15:c4:ca,306_U4-06-500
32504,ADV,-41,321,U4-06-500,e0:5a:1b:15:c4:ca,321_U4-06-500
33519,ADV,-42,331,U4-06-500,e0:5a:1b:15:c4:ca,331_U4-06-500
34028,ADV,-42,336,U4-06-500,e0:5a:1b:15:c4:ca,336_U4-06-500
34532,ADV,-40,341,U4-07-500,e0:5a:1b:15:c4:ca,341_U4-07-500
35491,ADV,-43,351,U4-07-100,e0:5a:1b:15:c4:ca,351_U4-07-100
35700,ADV,-30,353,U4-07-100,e0:5a:1b:15:c4:ca,353_U4-07-100
35920,ADV,-42,355,U4-07-100,e0:5a:1b:15:c4:ca,355_U4-07-100
36113,ADV,-31,357,U4-07-100,e0:5a:1b:15:c4:ca,357_U4-07-100
