ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D4B_SCAN90, cond_id=8, tag=unk, subject=uccs_d4b_scan90
11,3292,-2200,-7.2
20,3296,-2100,-6.9
30,3296,-2100,-6.9
40,3292,-2100,-6.9
50,3292,-2200,-7.2
60,3296,-2100,-6.9
70,3296,-2200,-7.3
80,3292,-2200,-7.2
90,3296,-2200,-7.3
100,3296,-2300,-7.6
110,3296,-2100,-6.9
120,3296,-2200,-7.3
130,3296,-2200,-7.3
140,3296,-2100,-6.9
150,3296,-2200,-7.3
160,3296,-2200,-7.3
170,3292,-2200,-7.2
180,3296,-2200,-7.3
190,3296,-2200,-7.3
200,3296,-2200,-7.3
210,3296,-2300,-7.6
220,3296,-2200,-7.3
230,3296,-2200,-7.3
240,3296,-2200,-7.3
250,3292,-2200,-7.2
260,3292,-2100,-6.9
270,3296,-2100,-6.9
280,3292,-2200,-7.2
290,3296,-2100,-6.9
300,3292,-2200,-7.2
310,3292,-2100,-6.9
320,3296,-2100,-6.9
330,3296,-2200,-7.3
340,3296,-2200,-7.3
350,3296,-2200,-7.3
360,3296,-2200,-7.3
370,3296,-2200,-7.3
380,3296,-2200,-7.3
390,3296,-2200,-7.3
400,3292,-2200,-7.2
410,3296,-2200,-7.3
420,3292,-2200,-7.2
430,3292,-2200,-7.2
440,3296,-2200,-7.3
450,3292,-2200,-7.2
460,3292,-2200,-7.2
470,3296,-2200,-7.3
480,3292,-2200,-7.2
490,3296,-2100,-6.9
500,3296,-2200,-7.3
510,3296,-2200,-7.3
520,3292,-2300,-7.6
530,3292,-2200,-7.2
540,3296,-2200,-7.3
550,3296,-2200,-7.3
560,3296,-2100,-6.9
570,3296,-2200,-7.3
580,3296,-2200,-7.3
590,3296,-2200,-7.3
600,3296,-2200,-7.3
610,3292,-2200,-7.2
620,3296,-2200,-7.3
630,3296,-2200,-7.3
640,3292,-2200,-7.2
650,3296,-2200,-7.3
660,3292,-2200,-7.2
670,3296,-2200,-7.3
680,3292,-2100,-6.9
690,3292,-2200,-7.2
700,3296,-2200,-7.3
710,3296,-2200,-7.3
720,3292,-2200,-7.2
730,3292,-2200,-7.2
740,3292,-2200,-7.2
750,3296,-2300,-7.6
760,3292,-2200,-7.2
770,3296,-2100,-6.9
780,3296,-2200,-7.3
790,3292,-2200,-7.2
800,3292,-2200,-7.2
810,3296,-2100,-6.9
820,3292,-2200,-7.2
830,3292,-2200,-7.2
840,3292,-2200,-7.2
850,3296,-2200,-7.3
860,3296,-2100,-6.9
870,3296,-2200,-7.3
880,3296,-2200,-7.3
890,3296,-2200,-7.3
900,3296,-2200,-7.3
910,3292,-2300,-7.6
920,3292,-2300,-7.6
930,3292,-2200,-7.2
940,3296,-2200,-7.3
950,3296,-2200,-7.3
960,3296,-2100,-6.9
970,3292,-2200,-7.2
980,3296,-2100,-6.9
990,3292,-2200,-7.2
1000,3296,-2200,-7.3
1010,3296,-2200,-7.3
1020,3292,-2200,-7.2
1030,3296,-2200,-7.3
1040,3296,-2200,-7.3
1050,3296,-2200,-7.3
1060,3296,-2100,-6.9
1070,3296,-2200,-7.3
1080,3296,-2200,-7.3
1090,3292,-2200,-7.2
1100,3292,-2200,-7.2
1110,3292,-2200,-7.2
1120,3296,-2200,-7.3
1130,3292,-2200,-7.2
1140,3296,-2200,-7.3
1150,3296,-2100,-6.9
1160,3292,-2200,-7.2
1170,3292,-2200,-7.2
1180,3292,-2200,-7.2
1190,3292,-2200,-7.2
1200,3296,-2200,-7.3
1210,3292,-2200,-7.2
1220,3296,-2200,-7.3
1230,3292,-2200,-7.2
1240,3296,-2300,-7.6
1250,3296,-2100,-6.9
1260,3296,-2100,-6.9
1270,3296,-2200,-7.3
1280,3296,-2200,-7.3
1290,3296,-2200,-7.3
1300,3296,-2200,-7.3
1310,3292,-2200,-7.2
1320,3292,-2200,-7.2
1330,3292,-2100,-6.9
1340,3296,-2200,-7.3
1350,3292,-2100,-6.9
1360,3292,-2200,-7.2
1370,3296,-2200,-7.3
1380,3292,-2200,-7.2
1390,3296,-2200,-7.3
1400,3296,-2200,-7.3
1410,3296,-2200,-7.3
1420,3292,-2200,-7.2
1430,3296,-2100,-6.9
1440,3296,-2100,-6.9
1450,3296,-2200,-7.3
1460,3292,-2200,-7.2
1470,3296,-2200,-7.3
1480,3296,-2100,-6.9
1490,3296,-2200,-7.3
1500,3296,-2200,-7.3
1510,3296,-2200,-7.3
1520,3296,-2100,-6.9
1530,3292,-2300,-7.6
1540,3292,-2200,-7.2
1550,3296,-2200,-7.3
1560,3292,-2300,-7.6
1570,3296,-2200,-7.3
1580,3296,-2200,-7.3
1590,3296,-2300,-7.6
1600,3296,-2200,-7.3
1610,3296,-2200,-7.3
1620,3296,-2200,-7.3
1630,3296,-2300,-7.6
1640,3296,-2200,-7.3
1650,3296,-2200,-7.3
1660,3292,-2100,-6.9
1670,3296,-2200,-7.3
1680,3296,-2200,-7.3
1690,3296,-2100,-6.9
1700,3296,-2100,-6.9
1710,3296,-2200,-7.3
1720,3296,-2200,-7.3
1730,3296,-2100,-6.9
1740,3296,-2200,-7.3
1750,3296,-2100,-6.9
1760,3296,-2200,-7.3
1770,3296,-2400,-7.9
1780,3292,-2200,-7.2
1790,3296,-2200,-7.3
1800,3296,-2200,-7.3
1810,3292,-2200,-7.2
1820,3292,-2200,-7.2
1830,3296,-2200,-7.3
1840,3292,-2200,-7.2
1850,3292,-2200,-7.2
1860,3296,-2200,-7.3
1870,3296,-2200,-7.3
1880,3296,-2300,-7.6
1890,3296,-2300,-7.6
1900,3296,-2100,-6.9
1910,3296,-2200,-7.3
1920,3296,-2200,-7.3
1931,3292,-2100,-6.9
1940,3292,-2200,-7.2
1950,3296,-2200,-7.3
1960,3292,-2200,-7.2
1970,3292,-2200,-7.2
1980,3292,-2200,-7.2
1990,3292,-2200,-7.2
2000,3296,-2200,-7.3
2010,3292,-2200,-7.2
2020,3292,-2100,-6.9
2030,3296,-2200,-7.3
2040,3292,-2200,-7.2
2050,3292,-2200,-7.2
2060,3296,-2100,-6.9
2070,3296,-2200,-7.3
2080,3292,-2200,-7.2
2090,3292,-2300,-7.6
2100,3292,-2200,-7.2
2110,3296,-2200,-7.3
2120,3292,-2200,-7.2
2130,3296,-2200,-7.3
2140,3292,-2200,-7.2
2150,3296,-2200,-7.3
2160,3296,-2200,-7.3
2170,3292,-2200,-7.2
2180,3292,-2200,-7.2
2190,3292,-2200,-7.2
2200,3292,-2100,-6.9
2210,3292,-2100,-6.9
2220,3292,-2200,-7.2
2230,3292,-2300,-7.6
2240,3292,-2200,-7.2
2250,3296,-2200,-7.3
2260,3296,-2200,-7.3
2270,3296,-2200,-7.3
2280,3296,-2300,-7.6
2290,3296,-2100,-6.9
2300,3292,-2200,-7.2
2310,3292,-2200,-7.2
2320,3292,-2200,-7.2
2330,3296,-2200,-7.3
2340,3292,-2200,-7.2
2350,3296,-2200,-7.3
2360,3296,-2200,-7.3
2370,3296,-2200,-7.3
2380,3292,-2200,-7.2
2390,3296,-2100,-6.9
2400,3292,-2100,-6.9
2410,3292,-2200,-7.2
2420,3296,-2200,-7.3
2430,3296,-2200,-7.3
2440,3292,-2200,-7.2
2450,3296,-2200,-7.3
2460,3292,-2200,-7.2
2470,3292,-2200,-7.2
2480,3292,-2200,-7.2
2490,3296,-2200,-7.3
2500,3296,-2200,-7.3
2510,3296,-2200,-7.3
2520,3292,-2200,-7.2
2530,3296,-2200,-7.3
2540,3292,-2300,-7.6
2550,3292,-2200,-7.2
2560,3292,-2200,-7.2
2570,3296,-2100,-6.9
2580,3296,-2100,-6.9
2590,3292,-2200,-7.2
2600,3296,-2200,-7.3
2610,3296,-2200,-7.3
2620,3296,-2200,-7.3
2630,3292,-2200,-7.2
2640,3296,-2200,-7.3
2650,3296,-2200,-7.3
2660,3296,-2200,-7.3
2670,3292,-2200,-7.2
2680,3292,-2200,-7.2
2690,3292,-2200,-7.2
2700,3292,-2100,-6.9
2710,3292,-2200,-7.2
2720,3296,-2200,-7.3
2730,3292,-2200,-7.2
2740,3296,-2100,-6.9
2750,3296,-2100,-6.9
2760,3296,-2100,-6.9
2770,3292,-2100,-6.9
2780,3296,-2200,-7.3
2790,3296,-2200,-7.3
2800,3296,-2200,-7.3
2810,3292,-2300,-7.6
2820,3292,-2200,-7.2
2830,3296,-2200,-7.3
2840,3292,-2200,-7.2
2850,3296,-2200,-7.3
2860,3296,-2200,-7.3
2870,3296,-2100,-6.9
2880,3292,-2200,-7.2
2890,3296,-2200,-7.3
2900,3292,-2200,-7.2
2910,3296,-2200,-7.3
2920,3292,-2200,-7.2
2930,3296,-2200,-7.3
2940,3296,-2200,-7.3
2950,3292,-2200,-7.2
2960,3296,-2200,-7.3
2970,3296,-2200,-7.3
2980,3296,-2200,-7.3
2990,3296,-2200,-7.3
3000,3292,-2200,-7.2
3010,3292,-2200,-7.2
3020,3296,-2200,-7.3
3030,3296,-2200,-7.3
3040,3296,-2100,-6.9
3050,3296,-2200,-7.3
3060,3296,-2200,-7.3
3070,3296,-2200,-7.3
3080,3296,-2200,-7.3
3090,3296,-2200,-7.3
3100,3296,-2200,-7.3
3110,3296,-2200,-7.3
3120,3296,-2200,-7.3
3130,3292,-2200,-7.2
3140,3292,-2200,-7.2
3150,3292,-2200,-7.2
3160,3292,-2200,-7.2
3170,3296,-2200,-7.3
3180,3292,-2200,-7.2
3190,3296,-2200,-7.3
3200,3296,-2200,-7.3
3210,3292,-2200,-7.2
3220,3292,-2200,-7.2
3230,3296,-2200,-7.3
3240,3292,-2200,-7.2
3250,3296,-2100,-6.9
3260,3292,-2200,-7.2
3270,3292,-2200,-7.2
3280,3292,-2200,-7.2
3290,3292,-2200,-7.2
3300,3292,-2200,-7.2
3310,3296,-2200,-7.3
3320,3292,-2200,-7.2
3330,3292,-2200,-7.2
3340,3296,-2200,-7.3
3350,3296,-2200,-7.3
3360,3292,-2200,-7.2
3370,3296,-2300,-7.6
3380,3296,-2300,-7.6
3390,3296,-2200,-7.3
3400,3296,-2100,-6.9
3410,3296,-2100,-6.9
3420,3292,-2200,-7.2
3430,3296,-2200,-7.3
