ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D4B_SCAN90, cond_id=4, tag=s4_ablation_ccs_off, subject=uccs_d4b_scan90
# meta, ablation=ccs_off policy=U_only actions{100,500} u_mid=0.20 u_high=0.35 hyst=0.02 ema_alpha=0.20
11,4940,57400,283.6
21,4768,174800,833.4
31,4940,57300,283.1
41,4936,56200,277.4
51,4940,56800,280.6
61,4940,56400,278.6
71,4940,56800,280.6
81,4940,56400,278.6
91,4940,55900,276.1
101,4940,57400,283.6
111,4940,55900,276.1
121,4776,166200,793.8
131,4940,55800,275.7
141,4940,57400,283.6
151,4940,55800,275.7
161,4940,57400,283.6
171,4940,55800,275.7
181,4940,57300,283.1
191,4936,55800,275.4
201,4940,57400,283.6
211,4940,55800,275.7
221,4816,141400,681.0
231,4940,55900,276.1
241,4940,56800,280.6
251,4940,56400,278.6
261,4940,56700,280.1
271,4940,56500,279.1
281,4940,56200,277.6
291,4940,57300,283.1
301,4940,56200,277.6
311,4940,57400,283.6
321,4816,141000,679.1
331,4940,57400,283.6
341,4940,55800,275.7
351,4944,57400,283.8
361,4936,55700,274.9
371,4940,57400,283.6
381,4936,55800,275.4
391,4940,57300,283.1
401,4940,55800,275.7
411,4940,57300,283.1
421,4936,55800,275.4
431,4800,138200,663.4
441,4940,56500,279.1
451,4940,56800,280.6
461,4940,56400,278.6
471,4940,56600,279.6
481,4940,56900,281.1
491,4936,56600,279.4
501,4940,57400,283.6
511,4940,55800,275.7
521,4940,57400,283.6
531,4816,139800,673.3
541,4940,57300,283.1
551,4936,55900,275.9
561,4940,57400,283.6
571,4940,55800,275.7
581,4940,57400,283.6
591,4940,55800,275.7
601,4940,57300,283.1
611,4940,55700,275.2
621,4940,56800,280.6
631,4940,56500,279.1
641,4716,137800,649.9
651,4940,56500,279.1
661,4940,56700,280.1
671,4940,56700,280.1
681,4940,55800,275.7
691,4940,57400,283.6
701,4940,55700,275.2
711,4940,57300,283.1
721,4936,55800,275.4
731,4844,115500,559.5
741,4936,55800,275.4
751,4940,57400,283.6
761,4940,55800,275.7
771,4940,57400,283.6
781,4936,55800,275.4
791,4940,57400,283.6
801,4936,55800,275.4
811,4940,56800,280.6
821,4940,56500,279.1
831,4940,56700,280.1
841,4940,56400,278.6
851,4940,56700,280.1
861,4940,56500,279.1
871,4940,55800,275.7
881,4940,57400,283.6
891,4940,55800,275.7
901,4940,57300,283.1
911,4936,55800,275.4
921,4940,57400,283.6
931,4940,55800,275.7
941,4940,57300,283.1
951,4936,55800,275.4
961,4940,57400,283.6
971,4940,55800,275.7
981,4940,57400,283.6
991,4936,55800,275.4
1001,4940,56800,280.6
1011,4940,56400,278.6
1021,4940,56700,280.1
1031,4940,56400,278.6
1041,4940,56700,280.1
1051,4940,56400,278.6
1061,4940,55800,275.7
1071,4940,57300,283.1
1081,4940,55800,275.7
1091,4940,57300,283.1
1101,4940,55800,275.7
1111,4940,57400,283.6
1121,4940,55800,275.7
1131,4940,57300,283.1
1141,4936,55700,274.9
1151,4940,57400,283.6
1161,4940,55800,275.7
1171,4940,57400,283.6
1181,4940,55700,275.2
1191,4940,56700,280.1
1201,4940,56400,278.6
1211,4940,56800,280.6
1221,4940,56400,278.6
1231,4940,56700,280.1
1241,4816,141000,679.1
1251,4940,55900,276.1
1261,4940,57300,283.1
1271,4936,55800,275.4
1281,4944,57300,283.3
1291,4940,55800,275.7
1301,4940,57400,283.6
1311,4936,55700,274.9
1321,4940,57400,283.6
1331,4936,55800,275.4
1341,4940,57300,283.1
1351,4940,55700,275.2
1361,4940,57300,283.1
1371,4936,55800,275.4
1381,4940,56700,280.1
1391,4940,56400,278.6
1401,4940,56700,280.1
1411,4940,56400,278.6
1421,4940,56700,280.1
1431,4940,56500,279.1
1441,4940,55800,275.7
1451,4940,57300,283.1
1461,4940,55700,275.2
1471,4940,57400,283.6
1481,4940,55800,275.7
1491,4940,57300,283.1
1501,4936,55700,274.9
1511,4940,57400,283.6
1521,4940,55800,275.7
1531,4940,57400,283.6
1541,4936,55800,275.4
1551,4940,57400,283.6
1561,4940,55800,275.7
1571,4940,56700,280.1
1581,4940,56400,278.6
1591,4940,56700,280.1
1601,4940,56400,278.6
1611,4940,56700,280.1
1621,4940,56400,278.6
1631,4940,55800,275.7
1641,4940,57400,283.6
1651,4940,55800,275.7
1661,4940,57300,283.1
1671,4940,55800,275.7
1681,4940,57400,283.6
1691,4940,55700,275.2
1701,4940,57300,283.1
1711,4940,55700,275.2
1721,4940,57400,283.6
1731,4940,55700,275.2
1741,4940,59800,295.4
1751,4940,55800,275.7
1761,4940,56600,279.6
1771,4936,56500,278.9
1781,4940,56700,280.1
1791,4940,56400,278.6
1801,4940,56700,280.1
1811,4940,56400,278.6
1821,4940,55900,276.1
1831,4940,57400,283.6
1841,4936,55800,275.4
1851,4940,57400,283.6
1861,4940,55700,275.2
1871,4940,57300,283.1
1881,4940,55800,275.7
1891,4940,57300,283.1
1901,4940,55700,275.2
1911,4940,57400,283.6
1921,4936,55800,275.4
1931,4940,57300,283.1
1941,4940,55700,275.2
1951,4940,56700,280.1
1961,4940,56400,278.6
1971,4940,56800,280.6
1981,4940,56400,278.6
1991,4940,56600,279.6
2001,4940,57000,281.6
2011,4940,56400,278.6
2021,4940,57400,283.6
2031,4940,55800,275.7
2041,4940,57400,283.6
2051,4940,55800,275.7
2061,4940,57300,283.1
2071,4940,55800,275.7
2081,4940,57300,283.1
2091,4936,55800,275.4
2101,4940,57300,283.1
2111,4940,55800,275.7
2121,4940,57100,282.1
2131,4940,56400,278.6
2141,4940,56700,280.1
2151,4940,56400,278.6
2161,4940,56700,280.1
2171,4940,56400,278.6
2181,4940,55700,275.2
2191,4940,57300,283.1
2201,4936,55800,275.4
2211,4944,57300,283.3
2221,4940,55800,275.7
2231,4940,57400,283.6
2241,4940,55800,275.7
2251,4724,132000,623.6
2261,4940,55800,275.7
2271,4940,57400,283.6
2281,4936,55800,275.4
2291,4940,57400,283.6
