ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D4B_SCAN90, cond_id=2, tag=s4_fixed500, subject=uccs_d4b_scan90
11,4936,56300,277.9
21,4940,57900,286.0
31,4936,56300,277.9
41,4940,57900,286.0
51,4936,56200,277.4
61,4940,57900,286.0
71,4936,56300,277.9
81,4936,57900,285.8
91,4936,57000,281.4
101,4940,57300,283.1
111,4936,56900,280.9
121,4936,57300,282.8
131,4936,57600,284.3
141,4936,56800,280.4
151,4940,57900,286.0
161,4936,56300,277.9
171,4940,57900,286.0
181,4936,56300,277.9
191,4940,57900,286.0
201,4732,133700,632.7
211,4940,57900,286.0
221,4936,56300,277.9
231,4940,57900,286.0
241,4936,56300,277.9
251,4940,57900,286.0
261,4936,57000,281.4
271,4936,57200,282.3
281,4940,56900,281.1
291,4940,57200,282.6
301,4936,57100,281.8
311,4940,57200,282.6
321,4940,57900,286.0
331,4936,56300,277.9
341,4940,57900,286.0
351,4936,56300,277.9
361,4940,57800,285.5
371,4936,56300,277.9
381,4940,57900,286.0
391,4936,56300,277.9
401,4940,57800,285.5
411,4936,56300,277.9
421,4940,57900,286.0
431,4936,56900,280.9
441,4936,57200,282.3
451,4936,57000,281.4
461,4936,57200,282.3
471,4940,57000,281.6
481,4940,57200,282.6
491,4940,57900,286.0
501,4936,56200,277.4
511,4940,57900,286.0
521,4936,56200,277.4
531,4940,57900,286.0
541,4936,56300,277.9
551,4940,57900,286.0
561,4936,56300,277.9
571,4940,57900,286.0
581,4936,56300,277.9
591,4940,57800,285.5
601,4936,56800,280.4
611,4940,57600,284.5
621,4940,56900,281.1
631,4940,57200,282.6
641,4936,57000,281.4
651,4940,57200,282.6
661,4940,57900,286.0
671,4936,56300,277.9
681,4940,57900,286.0
691,4936,56400,278.4
701,4940,57900,286.0
711,4820,203100,978.9
721,4940,57900,286.0
731,4936,56300,277.9
741,4940,57900,286.0
751,4936,56200,277.4
761,4940,57900,286.0
771,4936,56300,277.9
781,4940,57900,286.0
791,4936,56900,280.9
801,4940,57300,283.1
811,4936,57000,281.4
821,4940,57200,282.6
831,4940,57800,285.5
841,4936,56200,277.4
851,4940,57900,286.0
861,4936,56300,277.9
871,4940,57900,286.0
881,4936,56200,277.4
891,4940,58000,286.5
901,4936,56300,277.9
911,4940,57800,285.5
921,4936,56300,277.9
931,4940,57900,286.0
941,4936,56300,277.9
951,4940,57900,286.0
961,4936,56900,280.9
971,4940,57200,282.6
981,4936,56900,280.9
991,4936,57300,282.8
1001,4936,57800,285.3
1011,4936,56300,277.9
1021,4940,57900,286.0
1031,4936,56300,277.9
1041,4940,57900,286.0
1051,4936,56300,277.9
1061,4936,57900,285.8
1071,4936,56200,277.4
1081,4940,57900,286.0
1091,4936,56300,277.9
1101,4936,57900,285.8
1111,4940,56300,278.1
1121,4940,57900,286.0
1131,4940,57000,281.6
1141,4940,57300,283.1
1151,4936,56900,280.9
1161,4936,57300,282.8
1171,4936,57800,285.3
1181,4936,56700,279.9
1191,4940,57900,286.0
1201,4936,56300,277.9
1211,4752,169400,805.0
1221,4936,56300,277.9
1231,4940,57900,286.0
1241,4936,56300,277.9
1251,4936,57900,285.8
1261,4936,56300,277.9
1271,4940,57900,286.0
1281,4936,56300,277.9
1291,4940,57900,286.0
1301,4936,56900,280.9
1311,4936,57300,282.8
1321,4940,56900,281.1
1331,4940,57200,282.6
1341,4936,57200,282.3
1351,4936,57200,282.3
1361,4940,57900,286.0
1371,4936,56300,277.9
1381,4940,57900,286.0
1391,4936,56300,277.9
1401,4940,57900,286.0
1411,4936,56300,277.9
1421,4940,57900,286.0
1431,4936,56300,277.9
1441,4936,57900,285.8
1451,4936,56300,277.9
1461,4940,57900,286.0
1471,4936,56900,280.9
1481,4936,57200,282.3
1491,4936,57000,281.4
1501,4940,57200,282.6
1511,4936,56900,280.9
1521,4940,57200,282.6
1531,4940,57800,285.5
1541,4936,56200,277.4
1551,4940,57900,286.0
1561,4936,56300,277.9
1571,4940,57900,286.0
1581,4936,56200,277.4
1591,4940,57900,286.0
1601,4936,56300,277.9
1611,4940,57900,286.0
1621,4936,56300,277.9
