ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D4B_SCAN90, cond_id=3, tag=s4_policy, subject=uccs_d4b_scan90
# meta, policy=U+CCS actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02 ema_alpha=0.20 ccs_inverted=true
11,4940,56000,276.6
21,4940,56800,280.6
31,4936,56500,278.9
41,4940,56900,281.1
51,4940,56500,279.1
61,4936,56900,280.9
71,4940,56600,279.6
81,4936,55900,275.9
91,4940,57600,284.5
101,4940,55900,276.1
111,4940,57500,284.1
121,4936,55900,275.9
131,4940,57400,283.6
141,4940,55900,276.1
151,4936,57600,284.3
161,4936,55900,275.9
171,4940,57600,284.5
181,4936,55900,275.9
191,4940,57600,284.5
201,4936,55900,275.9
211,4940,56900,281.1
221,4940,56600,279.6
231,4940,56900,281.1
241,4940,56500,279.1
251,4940,56600,279.6
261,4940,57100,282.1
271,4936,55900,275.9
281,4940,57500,284.1
291,4940,55900,276.1
301,4940,57400,283.6
311,4936,55900,275.9
321,4940,57500,284.1
331,4936,55900,275.9
341,4916,57500,282.7
351,4936,55900,275.9
361,4940,57400,283.6
371,4816,139400,671.4
381,4940,57500,284.1
391,4936,55900,275.9
401,4940,56900,281.1
411,4940,56500,279.1
421,4940,56800,280.6
431,4936,56500,278.9
441,4940,56300,278.1
451,4940,57400,283.6
461,4936,55900,275.9
471,4940,57500,284.1
481,4936,55900,275.9
491,4940,57500,284.1
501,4940,55900,276.1
511,4940,57500,284.1
521,4936,55900,275.9
531,4940,57500,284.1
541,4936,55900,275.9
551,4940,57500,284.1
561,4936,55900,275.9
571,4940,57400,283.6
581,4936,56300,277.9
591,4940,56900,281.1
601,4940,56600,279.6
611,4940,56900,281.1
621,4940,56500,279.1
631,4940,56000,276.6
641,4936,57500,283.8
651,4936,55900,275.9
661,4940,57500,284.1
671,4936,55800,275.4
681,4940,57400,283.6
691,4936,56000,276.4
701,4940,57500,284.1
711,4936,55900,275.9
721,4940,57600,284.5
731,4936,55900,275.9
741,4940,57600,284.5
751,4936,55900,275.9
761,4940,56900,281.1
771,4936,56600,279.4
