tau_s,p100_policy,p100_u_only
-2.0,0.5166666666666667,0.5
-1.9,0.5,0.49166666666666664
-1.8,0.48333333333333334,0.475
-1.7,0.5083333333333333,0.48333333333333334
-1.6,0.5166666666666667,0.5166666666666667
-1.5,0.5083333333333333,0.5166666666666667
-1.4,0.5333333333333333,0.525
-1.3,0.5447154471544715,0.5284552845528455
-1.2,0.5365853658536586,0.5121951219512195
-1.1,0.5365853658536586,0.5121951219512195
-1.0,0.5365853658536586,0.5121951219512195
-0.9,0.5447154471544715,0.5365853658536586
-0.8,0.5528455284552846,0.5365853658536586
-0.7,0.5121951219512195,0.5121951219512195
-0.6,0.5365853658536586,0.5365853658536586
-0.5,0.5121951219512195,0.5284552845528455
-0.4,0.5121951219512195,0.5284552845528455
-0.3,0.5121951219512195,0.5365853658536586
-0.2,0.5284552845528455,0.5447154471544715
-0.1,0.5284552845528455,0.5447154471544715
0.0,0.5284552845528455,0.5284552845528455
0.1,0.5284552845528455,0.5284552845528455
0.2,0.5691056910569106,0.5691056910569106
0.3,0.5772357723577236,0.5853658536585366
0.4,0.6097560975609756,0.6097560975609756
0.5,0.6747967479674797,0.6422764227642277
0.6,0.7886178861788617,0.7398373983739838
0.7,0.8373983739837398,0.7967479674796748
0.8,0.8861788617886179,0.8699186991869918
0.9,0.9186991869918699,0.9024390243902439
1.0,0.926829268292683,0.9024390243902439
1.1,0.926829268292683,0.9024390243902439
1.2,0.926829268292683,0.9024390243902439
1.3,0.9512195121951219,0.926829268292683
1.4,1.0,1.0
1.5,1.0,1.0
1.6,1.0,1.0
1.7,1.0,1.0
1.8,1.0,1.0
1.9,1.0,1.0
2.0,1.0,1.0
